Key,English,Swedish
PROPQUEST_INC_000938,"Ugh… well unless you have something funny to say, I think our business is concluded. I need to rest now. Black Magic takes a lot out of me.","Ugh… well unless you have something funny to say, I think our business is concluded. I need to rest now. Black Magic takes a lot out of me."
PROPQUEST_INC_000939,What do you mean? I'm not in a bad mood. I'm like this to everyone. Unless you can make me laugh!,What do you mean? I'm not in a bad mood. I'm like this to everyone. Unless you can make me laugh!
PROPQUEST_INC_000940,Is that my portrait?! Give it here!,Is that my portrait?! Give it here!
PROPQUEST_INC_000941,"Wait, what? What reward? I never said anything about a reward. Begone, pest!","Wait, what? What reward? I never said anything about a reward. Begone, pest!"
PROPQUEST_INC_000942,"Let this be a lesson to you. Before helping someone, make sure you find out upfront whether or not there is a reward being offered. Hahaha!","Let this be a lesson to you. Before helping someone, make sure you find out upfront whether or not there is a reward being offered. Hahaha!"
PROPQUEST_INC_000943,You haven't found it yet? Well keep looking!,You haven't found it yet? Well keep looking!
PROPQUEST_INC_000944,Travel to the Red Bang Troup camp northeast of the Mars Mine and recover the Portrait of Radion. Return it to Rudvihil once you find it.,Travel to the Red Bang Troup camp northeast of the Mars Mine and recover the Portrait of Radion. Return it to Rudvihil once you find it.
PROPQUEST_INC_000946,Bone of Wagsaac,Bone of Wagsaac
PROPQUEST_INC_000947,"Psssst! Hey... You there! Over here! Sorry for whispering, but this is a secret from the Lab of Madrigal.","Psssst! Hey... You there! Over here! Sorry for whispering, but this is a secret from the Lab of Madrigal."
PROPQUEST_INC_000948,"In the Lab of Madrigal, a secret project is underway. This is actually a disguise I'm wearing, hahaha! This secret project has to do with cloning monsters!","In the Lab of Madrigal, a secret project is underway. This is actually a disguise I'm wearing, hahaha! This secret project has to do with cloning monsters!"
PROPQUEST_INC_000949,"Why are we cloning them? Because we can, obviously! What kind of question is that? Muahahaha! Okay, listen. I need something for our cloning study.","Why are we cloning them? Because we can, obviously! What kind of question is that? Muahahaha! Okay, listen. I need something for our cloning study."
PROPQUEST_INC_000950,You think you might be able to help me out?,You think you might be able to help me out?
PROPQUEST_INC_000951,"Perrrrfect! In the interest of furthering our studies on Wagsaac DNA, I need some of their bones. Bring me 10 Wagsaac Bones.","Perrrrfect! In the interest of furthering our studies on Wagsaac DNA, I need some of their bones. Bring me 10 Wagsaac Bones."
PROPQUEST_INC_000952,"You don't want to do it, eh? Fine, I'll find someone else.","You don't want to do it, eh? Fine, I'll find someone else."
PROPQUEST_INC_000953,"Hmmm *Sniff* *Sniff*... Yep! This is prime grade-A Wagsaac Bone right here. Good job, sport!","Hmmm *Sniff* *Sniff*... Yep! This is prime grade-A Wagsaac Bone right here. Good job, sport!"
PROPQUEST_INC_000954,We've got all the time in the world. Take your time. We're busy developing a mix between a Mushpang and an Aibatt. We're calling them Mushbatts!,We've got all the time in the world. Take your time. We're busy developing a mix between a Mushpang and an Aibatt. We're calling them Mushbatts!
PROPQUEST_INC_000955,Gather 10 Wagsaac Bones from Wagsaacs south of the Saint Tree in Saint City.,Gather 10 Wagsaac Bones from Wagsaacs south of the Saint Tree in Saint City.
PROPQUEST_INC_000957,Gene of Wagsaac,Gene of Wagsaac
PROPQUEST_INC_000958,"What, you thought that was it? Oh no, I have plenty more for you to do, champ!","What, you thought that was it? Oh no, I have plenty more for you to do, champ!"
PROPQUEST_INC_000959,We require more data to complete our research. Feel like helping out again?,We require more data to complete our research. Feel like helping out again?
PROPQUEST_INC_000960,Great! We need 10 Gene Pieces from Wagsaacs this time. We're close to cloning out first Wagsaac! Get going!,Great! We need 10 Gene Pieces from Wagsaacs this time. We're close to cloning out first Wagsaac! Get going!
PROPQUEST_INC_000961,"Don't want to do it, eh? You kill hundreds of small animals and you're going to preach to me about ethics?","Don't want to do it, eh? You kill hundreds of small animals and you're going to preach to me about ethics?"
PROPQUEST_INC_000962,Ohhh yeah! This is good stuff! Thanks again!,Ohhh yeah! This is good stuff! Thanks again!
PROPQUEST_INC_000963,"Take your time, friend. We're busy making Jack in the Giggle Boxes out of Jack the Hammers and Giggle Boxes!","Take your time, friend. We're busy making Jack in the Giggle Boxes out of Jack the Hammers and Giggle Boxes!"
PROPQUEST_INC_000964,Gather 10 pieces of Wagsaac DNA for Heitung in Saint City.,Gather 10 pieces of Wagsaac DNA for Heitung in Saint City.
PROPQUEST_INC_000966,Origin of Bone Bowl,Origin of Bone Bowl
PROPQUEST_INC_000967,"*Gnarllll!* Hey! You there! You don't know me, right? My reputation usually precedes me. I am the strange collector!","*Gnarllll!* Hey! You there! You don't know me, right? My reputation usually precedes me. I am the strange collector!"
PROPQUEST_INC_000968,"I wanted to ask you something. Have you ever heard of the Bone Bowl? No, not just some random Bone Bowl. THE Bone Bowl!","I wanted to ask you something. Have you ever heard of the Bone Bowl? No, not just some random Bone Bowl. THE Bone Bowl!"
PROPQUEST_INC_000969,I'm talking about the original cursed Bone Bowl.,I'm talking about the original cursed Bone Bowl.
PROPQUEST_INC_000970,I am looking to acquire it. Will you help me?,I am looking to acquire it. Will you help me?
PROPQUEST_INC_000971,*Grawrrrll* Great! Head to the Garden of Rhisis and find (Bowl Merchant) Bowler! *SNARF!*,*Grawrrrll* Great! Head to the Garden of Rhisis and find (Bowl Merchant) Bowler! *SNARF!*
PROPQUEST_INC_000972,Oh come on! I can pay you as much as you want! *GNARL*,Oh come on! I can pay you as much as you want! *GNARL*
PROPQUEST_INC_000973,"Hmmm… so the strange collector wants the Bone Bowl, huh?","Hmmm… so the strange collector wants the Bone Bowl, huh?"
PROPQUEST_INC_000974,Hahaha! I knew this day would come.,Hahaha! I knew this day would come.
PROPQUEST_INC_000975,Hello there! Are you looking for something special?,Hello there! Are you looking for something special?
PROPQUEST_INC_000976,"Locate Bowler, the Bowl Merchant in the Garden of Rhisis.","Locate Bowler, the Bowl Merchant in the Garden of Rhisis."
PROPQUEST_INC_000978,The 1st Bone Bowl,The 1st Bone Bowl
PROPQUEST_INC_000979,"The Bone Bowl was created by a black magician a long long time ago. In a town, a woman lived with her little pet, who was named Baby.","The Bone Bowl was created by a black magician a long long time ago. In a town, a woman lived with her little pet, who was named Baby."
PROPQUEST_INC_000980,"The pet went crazy and began attacking townsfolk. As a result, both of them were kicked out of the town.","The pet went crazy and began attacking townsfolk. As a result, both of them were kicked out of the town."
PROPQUEST_INC_000981,"The woman came back to the town, but the people in town killed her pet! Then the black magician made a bowl out of the skull of her pet and cursed it!","The woman came back to the town, but the people in town killed her pet! Then the black magician made a bowl out of the skull of her pet and cursed it!"
PROPQUEST_INC_000982,"The town disappeared because of the curse, and so did the bowl…but there are some that say…Well, I've already said too much.","The town disappeared because of the curse, and so did the bowl…but there are some that say…Well, I've already said too much."
PROPQUEST_INC_000983,"So you want the real Bone Bowl, right? Well, you'll have to do something for me first. Nothing in this world is free, right? Hahaha!","So you want the real Bone Bowl, right? Well, you'll have to do something for me first. Nothing in this world is free, right? Hahaha!"
PROPQUEST_INC_000984,"Good! Bring me 10 Black Tombmarbles from Tombstone Bearers, 5 Black Spell Books and 5 Black Heroka Grass from somewhere in the Garden of Rhisis.","Good! Bring me 10 Black Tombmarbles from Tombstone Bearers, 5 Black Spell Books and 5 Black Heroka Grass from somewhere in the Garden of Rhisis."
PROPQUEST_INC_000985,"Hey, it's up to you. Too bad though, I could have used those items to help you with your problem…","Hey, it's up to you. Too bad though, I could have used those items to help you with your problem…"
PROPQUEST_INC_000986,Great job! This stuff will come in real handy!,Great job! This stuff will come in real handy!
PROPQUEST_INC_000987,You did not bring me everything I asked. Please bring me the items I requested.,You did not bring me everything I asked. Please bring me the items I requested.
PROPQUEST_INC_000988,"Bring 10 Black Tombmarbles from Tombstone Bearers, 5 Black Spell Books and 5 black Heroka grass to Bowler the Bowl Merchant in Rhisis.","Bring 10 Black Tombmarbles from Tombstone Bearers, 5 Black Spell Books and 5 black Heroka grass to Bowler the Bowl Merchant in Rhisis."
PROPQUEST_INC_000990,Facts of Bone Bowl,Facts of Bone Bowl
PROPQUEST_INC_000991,"To be honest, it disappeared a long time ago. It corroded because it was made of bone.","To be honest, it disappeared a long time ago. It corroded because it was made of bone."
PROPQUEST_INC_000992,That is why I asked you to bring me these materials. These are the materials that the black magician used to place the curse on the Bone Bowl in the first place.,That is why I asked you to bring me these materials. These are the materials that the black magician used to place the curse on the Bone Bowl in the first place.
PROPQUEST_INC_000993,I do not have the power to curse it as strongly as the black magician did. I can certainly curse it as much as any collector could!,I do not have the power to curse it as strongly as the black magician did. I can certainly curse it as much as any collector could!
PROPQUEST_INC_000994,"Now, please bring this Bone Bowl to the Strange Collector.","Now, please bring this Bone Bowl to the Strange Collector."
PROPQUEST_INC_000995,The Strange Collector will be very happy. Just don't tell him I had to make another one. Hahaha!,The Strange Collector will be very happy. Just don't tell him I had to make another one. Hahaha!
PROPQUEST_INC_000996,There's nothing to be afraid of! The curse isn't contagious! Muahaha!,There's nothing to be afraid of! The curse isn't contagious! Muahaha!
PROPQUEST_INC_000997,You got it?! Amazing! Look at the craftsmanship! And it's do well preserved! It's as if it was made today!,You got it?! Amazing! Look at the craftsmanship! And it's do well preserved! It's as if it was made today!
PROPQUEST_INC_000998,"Great job, my friend. This bowl is amazing!","Great job, my friend. This bowl is amazing!"
PROPQUEST_INC_000999,"You don't have it yet? Well, what are you waiting for? Go!","You don't have it yet? Well, what are you waiting for? Go!"
PROPQUEST_INC_001000,Take the Bone Bowl to the Strange Collector in Northern Saint City.,Take the Bone Bowl to the Strange Collector in Northern Saint City.
PROPQUEST_INC_001002,Tears of Mother,Tears of Mother
PROPQUEST_INC_001003,Please help me! My daughter has been missing for so long!,Please help me! My daughter has been missing for so long!
PROPQUEST_INC_001004,"My daughter disappeared a few years ago. I have reported her missing to the Public Office and tried to find her myself, but to no avail.","My daughter disappeared a few years ago. I have reported her missing to the Public Office and tried to find her myself, but to no avail."
PROPQUEST_INC_001005,"I have done everything I can do so far, but I'm at my wits end. I'm even asking Vagrants for help now!","I have done everything I can do so far, but I'm at my wits end. I'm even asking Vagrants for help now!"
PROPQUEST_INC_001006,"Please, will you help me find my daughter?","Please, will you help me find my daughter?"
PROPQUEST_INC_001007,"Thank you. I think you can obtain some information from Porgo, who lives in nearby Saint Hall. He will definitely know something.","Thank you. I think you can obtain some information from Porgo, who lives in nearby Saint Hall. He will definitely know something."
PROPQUEST_INC_001008,*Faints*,*Faints*
PROPQUEST_INC_001009,"Hmm... JeongHwa has not given up on finding her daughter yet. What a pity, but her daughter is not the only child who has disappeared recently.","Hmm... JeongHwa has not given up on finding her daughter yet. What a pity, but her daughter is not the only child who has disappeared recently."
PROPQUEST_INC_001010,"Lots of the girls from Saint City disappeared. I formed a citizen investigation team, but we failed to discover any clues.","Lots of the girls from Saint City disappeared. I formed a citizen investigation team, but we failed to discover any clues."
PROPQUEST_INC_001011,"Now I am the only one left from the team, but I am still investigating the case because we'd like to bring those kids home.","Now I am the only one left from the team, but I am still investigating the case because we'd like to bring those kids home."
PROPQUEST_INC_001012,"I am the leader of the investigation team that was investigating the missing children. But now, I am the only one left...","I am the leader of the investigation team that was investigating the missing children. But now, I am the only one left..."
PROPQUEST_INC_001013,"Go to Saint Hall in Saint City, and meet with Porgo.","Go to Saint Hall in Saint City, and meet with Porgo."
PROPQUEST_INC_001015,Kids Disappeared?,Kids Disappeared?
PROPQUEST_INC_001016,"The case of the missing children? Hmm... Well a few years ago, a group of young, six year old girls suddenly disappeared from Saint City.","The case of the missing children? Hmm... Well a few years ago, a group of young, six year old girls suddenly disappeared from Saint City."
PROPQUEST_INC_001017,"Everyone attempted to find the kids, but they all failed.","Everyone attempted to find the kids, but they all failed."
PROPQUEST_INC_001018,"I never gave up and I kept trying to solve the case. I had discovered many things, and reported them to the Public Office.","I never gave up and I kept trying to solve the case. I had discovered many things, and reported them to the Public Office."
PROPQUEST_INC_001019,"However, they rejected my findings due to the lack of evidence. So as I was gathering evidence, I suddenly came up with an idea when I saw those strange Masquerpets; Mia.","However, they rejected my findings due to the lack of evidence. So as I was gathering evidence, I suddenly came up with an idea when I saw those strange Masquerpets; Mia."
PROPQUEST_INC_001020,"Anyway, will you help me?","Anyway, will you help me?"
PROPQUEST_INC_001021,Great! Slay 20 Small Mias and tell me what you make of them.,Great! Slay 20 Small Mias and tell me what you make of them.
PROPQUEST_INC_001022,That's a shame. I guess there's no hope for those girls…,That's a shame. I guess there's no hope for those girls…
PROPQUEST_INC_001023,"Uh huh, yes. I see. Okay, thank you for bringing me this information, friend.","Uh huh, yes. I see. Okay, thank you for bringing me this information, friend."
PROPQUEST_INC_001024,"I need more information, friend. Please slay 20 Small Mias and report back to me.","I need more information, friend. Please slay 20 Small Mias and report back to me."
PROPQUEST_INC_001025,"Slay 20 Small Mias and return to Porgo, in Saint City.","Slay 20 Small Mias and return to Porgo, in Saint City."
PROPQUEST_INC_001027,Facts of Mia,Facts of Mia
PROPQUEST_INC_001028,Argh! Curse that darn mayor! He won't even listen to me!,Argh! Curse that darn mayor! He won't even listen to me!
PROPQUEST_INC_001029,"What's the matter, you ask? I brought him the evidence you obtained for me. I was told it was too long ago and that nobody cares about the case anymore.","What's the matter, you ask? I brought him the evidence you obtained for me. I was told it was too long ago and that nobody cares about the case anymore."
PROPQUEST_INC_001030,"How could he be so heartless? These are children we are talking about, here! I need to find a way to get him to look at this evidence.","How could he be so heartless? These are children we are talking about, here! I need to find a way to get him to look at this evidence."
PROPQUEST_INC_001031,Would you mind helping me once more?,Would you mind helping me once more?
PROPQUEST_INC_001032,"If you bring him the evidence instead of me, maybe he will take a look at it. I've bugged him enough about this over the years, but maybe a fresh face will do the trick!","If you bring him the evidence instead of me, maybe he will take a look at it. I've bugged him enough about this over the years, but maybe a fresh face will do the trick!"
PROPQUEST_INC_001033,"But… please, think of the children.","But… please, think of the children."
PROPQUEST_INC_001034,"Oh for Madrigal's sake! Porgo never gives up! Okay, please bring this to him and tell him never to bring this case up to me again!","Oh for Madrigal's sake! Porgo never gives up! Okay, please bring this to him and tell him never to bring this case up to me again!"
PROPQUEST_INC_001035,I tour the city everyday in order to listen the opinions of the citizens. Have a wonderful adventure in our fair city!,I tour the city everyday in order to listen the opinions of the citizens. Have a wonderful adventure in our fair city!
PROPQUEST_INC_001036,Speak with the Mayor of Saint City and give him the evidence from the Mias.,Speak with the Mayor of Saint City and give him the evidence from the Mias.
PROPQUEST_INC_001038,Doll of Mia,Doll of Mia
PROPQUEST_INC_001039,What? It worked? What do you have there? Oh my… then this means… That's horrible!,What? It worked? What do you have there? Oh my… then this means… That's horrible!
PROPQUEST_INC_001040,"Thank you very much for bringing this to me, adventurer. I need to tell JeongHwa right away.","Thank you very much for bringing this to me, adventurer. I need to tell JeongHwa right away."
PROPQUEST_INC_001041,"Wait a minute, she's not going to believe me unless I have some proof. Where can I get some proof? Yes… That's it!","Wait a minute, she's not going to believe me unless I have some proof. Where can I get some proof? Yes… That's it!"
PROPQUEST_INC_001042,"If her daughter is still amongst Mias, then she would still have her most prized possession. I need it in order to persuade JeongHwa. Would you bring it to me, please?","If her daughter is still amongst Mias, then she would still have her most prized possession. I need it in order to persuade JeongHwa. Would you bring it to me, please?"
PROPQUEST_INC_001043,JeongHwa had a daughter whose name was Jinyoung. Jinyoung loved her doll very much. Perhaps I can convince JeongHwa if I can find her doll amongst the Mias...,JeongHwa had a daughter whose name was Jinyoung. Jinyoung loved her doll very much. Perhaps I can convince JeongHwa if I can find her doll amongst the Mias...
PROPQUEST_INC_001044,You must not know what it is like to lose a child. JeongHwa may never know the truth about her daughter.,You must not know what it is like to lose a child. JeongHwa may never know the truth about her daughter.
PROPQUEST_INC_001045,"What… do you have there? My daughter's doll? My poor, sweet Jinyoung. Now I can begin to mourn. Thank you, young one. For bringing this to me.","What… do you have there? My daughter's doll? My poor, sweet Jinyoung. Now I can begin to mourn. Thank you, young one. For bringing this to me."
PROPQUEST_INC_001046,Have you found my daughter yet? Please don't give up! I'd give anything to see her again.,Have you found my daughter yet? Please don't give up! I'd give anything to see her again.
PROPQUEST_INC_001047,Speak with JeongHwa in Saint City.,Speak with JeongHwa in Saint City.
PROPQUEST_INC_001049,Uncovered Past,Uncovered Past
PROPQUEST_INC_001050,"Yes! This is it! The report was definitely written with all the facts, but not all the facts were ever proven.","Yes! This is it! The report was definitely written with all the facts, but not all the facts were ever proven."
PROPQUEST_INC_001051,And the color of some of the pages in the report are slightly different. They must have been added later…,And the color of some of the pages in the report are slightly different. They must have been added later…
PROPQUEST_INC_001052,It must be because they are trying to keep this whole thing a secret. This is a memo that proves what has been done.,It must be because they are trying to keep this whole thing a secret. This is a memo that proves what has been done.
PROPQUEST_INC_001053,The memo instructs them to change the pages in the official report and bury the original behind Saint Hall. We're about to uncover the truth to this mystery!,The memo instructs them to change the pages in the official report and bury the original behind Saint Hall. We're about to uncover the truth to this mystery!
PROPQUEST_INC_001054,You think you can give me a hand with this? We're close to finding the truth!,You think you can give me a hand with this? We're close to finding the truth!
PROPQUEST_INC_001055,"Thank you! If this is true, the original report was buried somewhere near Saint Hall. Please bring it to me. Hurry!","Thank you! If this is true, the original report was buried somewhere near Saint Hall. Please bring it to me. Hurry!"
PROPQUEST_INC_001056,"I know you don't want to get involved, but please. Think of the children.","I know you don't want to get involved, but please. Think of the children."
PROPQUEST_INC_001057,You found it! I will do my best to uncover the truth and bring those responsible for hiding this to justice!,You found it! I will do my best to uncover the truth and bring those responsible for hiding this to justice!
PROPQUEST_INC_001058,You didn't find it? It has to be there. Check again!,You didn't find it? It has to be there. Check again!
PROPQUEST_INC_001059,Find the Disappearance Investigation report buried somewhere near Saint Hall and bring it to Porgo.,Find the Disappearance Investigation report buried somewhere near Saint Hall and bring it to Porgo.
PROPQUEST_INC_001061,Revenge of Red Bang Troupe,Revenge of Red Bang Troupe
PROPQUEST_INC_001062,That Red Bang Troupe is making me absolutely nuts!,That Red Bang Troupe is making me absolutely nuts!
PROPQUEST_INC_001063,"They invaded our home and stole our family treasure, leaving only a note yesterday. I was absolutely horrified...","They invaded our home and stole our family treasure, leaving only a note yesterday. I was absolutely horrified..."
PROPQUEST_INC_001064,"I was so scared I couldn't do anything about it. They stole my family treasure, and I am powerless to do anything.","I was so scared I couldn't do anything about it. They stole my family treasure, and I am powerless to do anything."
PROPQUEST_INC_001065,"If I knew this was going to happen, I would have donated it to the Public Office.","If I knew this was going to happen, I would have donated it to the Public Office."
PROPQUEST_INC_001066,What can I do now? Is there anything you can do to help? Please?!,What can I do now? Is there anything you can do to help? Please?!
PROPQUEST_INC_001067,"Are you serious!? Thank you! The leader of the thieves has my treasure. Their camp is just west of the Fountain of Dead person. Please, find it and bring it back to me!","Are you serious!? Thank you! The leader of the thieves has my treasure. Their camp is just west of the Fountain of Dead person. Please, find it and bring it back to me!"
PROPQUEST_INC_001068,Oh… okay. Never mind then. I guess my problems are none of your concern.,Oh… okay. Never mind then. I guess my problems are none of your concern.
PROPQUEST_INC_001069,My Entanale Sword! Thank you so much! My family treasure has been returned!,My Entanale Sword! Thank you so much! My family treasure has been returned!
PROPQUEST_INC_001070,"This sword was made by Entanale Boineo, my great great grandfather. It was made out of the bones of an ancient animal...","This sword was made by Entanale Boineo, my great great grandfather. It was made out of the bones of an ancient animal..."
PROPQUEST_INC_001071,"I would like to give this to you in return. Perhaps you can keep it safe from thieves better than I can. Thank you once again, my friend.","I would like to give this to you in return. Perhaps you can keep it safe from thieves better than I can. Thank you once again, my friend."
PROPQUEST_INC_001072,You have to find the leader of the troupe. Only he could have done this.,You have to find the leader of the troupe. Only he could have done this.
PROPQUEST_INC_001073,Defeat the Red Bang Troupe Leader west of the Fountain of Dead Person and return Luda's family treasure.,Defeat the Red Bang Troupe Leader west of the Fountain of Dead Person and return Luda's family treasure.
PROPQUEST_INC_001075,Identity of Red Bang Troupe,Identity of Red Bang Troupe
PROPQUEST_INC_001076,I will never forgive them for what they have done. I'm literally fuming with anger right now!,I will never forgive them for what they have done. I'm literally fuming with anger right now!
PROPQUEST_INC_001077,"Now that their leader has been defeated, I think this is a good opportunity to hit them where it hurts and end this once and for all!","Now that their leader has been defeated, I think this is a good opportunity to hit them where it hurts and end this once and for all!"
PROPQUEST_INC_001078,"I have a plan, but I will need your help again, my friend. Are you up to it?","I have a plan, but I will need your help again, my friend. Are you up to it?"
PROPQUEST_INC_001079,"I knew you would do it! Travel back to their camp, and defeat 5 Red Bang Troupe Members, 1 Red bang Troupe Leader, and bring me 7 of their symbols.","I knew you would do it! Travel back to their camp, and defeat 5 Red Bang Troupe Members, 1 Red bang Troupe Leader, and bring me 7 of their symbols."
PROPQUEST_INC_001080,Will you not help me finally rid our town of this nuisance? Speak with me again if you have a change of heart.,Will you not help me finally rid our town of this nuisance? Speak with me again if you have a change of heart.
PROPQUEST_INC_001081,Very good! Excellent work! They're probably tucking their tails between their legs now! Muahaha!,Very good! Excellent work! They're probably tucking their tails between their legs now! Muahaha!
PROPQUEST_INC_001082,Have you defeated them all yet? Do you have any symbols? No? Then you better get going!,Have you defeated them all yet? Do you have any symbols? No? Then you better get going!
PROPQUEST_INC_001083,"Defeat 5 Red Bang Troupe Members, 1 Red Bang Troupe Leader, and retrieve 7 Symbols of the Red bang Troupe.","Defeat 5 Red Bang Troupe Members, 1 Red Bang Troupe Leader, and retrieve 7 Symbols of the Red bang Troupe."
PROPQUEST_INC_001085,"Troupe Leader, Lord Bang","Troupe Leader, Lord Bang"
PROPQUEST_INC_001086,"This… this symbol… it is very intriguing. If I'm right, the real leader of the Red bang Troupe is not the one you defeated.","This… this symbol… it is very intriguing. If I'm right, the real leader of the Red bang Troupe is not the one you defeated."
PROPQUEST_INC_001087,This symbol has been found in Darkon 2 as well. Could the real leader of the Red Bang Troupe be hiding there?,This symbol has been found in Darkon 2 as well. Could the real leader of the Red Bang Troupe be hiding there?
PROPQUEST_INC_001088,We must find out. The leader must be defeated or this will never end.,We must find out. The leader must be defeated or this will never end.
PROPQUEST_INC_001089,"I've just received information from one of my colleagues in Darkon 2. I believe we've identified him. Will you help me once again, my friend?","I've just received information from one of my colleagues in Darkon 2. I believe we've identified him. Will you help me once again, my friend?"
PROPQUEST_INC_001090,Thank you! The information I gathered is that his name is Lord Bang. He was last seen near the Gouthan Mountains in Darkon 2.,Thank you! The information I gathered is that his name is Lord Bang. He was last seen near the Gouthan Mountains in Darkon 2.
PROPQUEST_INC_001091,"We are so close to putting an end to this nuisance for good! Please, help us!","We are so close to putting an end to this nuisance for good! Please, help us!"
PROPQUEST_INC_001092,"You defeated Lord Bang? Thank goodness! Now we can live without fear of his retaliation. Thank you so much, my friend.","You defeated Lord Bang? Thank goodness! Now we can live without fear of his retaliation. Thank you so much, my friend."
PROPQUEST_INC_001093,You must hurry! He has to be defeated before he retaliates! Go to Darkon 2 and find him now!,You must hurry! He has to be defeated before he retaliates! Go to Darkon 2 and find him now!
PROPQUEST_INC_001094,Travel to Darkon 2 and defeat Lord Bang. He was last seen somewhere near the Gouthan Mountains.,Travel to Darkon 2 and defeat Lord Bang. He was last seen somewhere near the Gouthan Mountains.
PROPQUEST_INC_001096,Special Kids,Special Kids
PROPQUEST_INC_001097,Hey! I have some new findings in the case of the missing girls!,Hey! I have some new findings in the case of the missing girls!
PROPQUEST_INC_001098,"According to this report, there is one more thing in common with the kids who disappeared from Saint City. They were all girls.","According to this report, there is one more thing in common with the kids who disappeared from Saint City. They were all girls."
PROPQUEST_INC_001099,But I cannot find out what the similarity is in this report. It's really frustrating!,But I cannot find out what the similarity is in this report. It's really frustrating!
PROPQUEST_INC_001100,Will you help me find out what's going on here?,Will you help me find out what's going on here?
PROPQUEST_INC_001101,"I need you to fight with Captain Mias and Mias and look for similarities between them, or anything you might find strange about them.","I need you to fight with Captain Mias and Mias and look for similarities between them, or anything you might find strange about them."
PROPQUEST_INC_001102,"You won't? Please, help me. Speak with me again if you change your mind.","You won't? Please, help me. Speak with me again if you change your mind."
PROPQUEST_INC_001103,"Oh, thank you so much! You've been such a great help so far! I couldn't have made it this far without you!","Oh, thank you so much! You've been such a great help so far! I couldn't have made it this far without you!"
PROPQUEST_INC_001104,Have you seen any strange similarities between them? Keep looking! I'm counting on you!,Have you seen any strange similarities between them? Keep looking! I'm counting on you!
PROPQUEST_INC_001105,Slay Mias and Captain Mias and return to Porgo with any information you gather.,Slay Mias and Captain Mias and return to Porgo with any information you gather.
PROPQUEST_INC_001107,Secret Trade,Secret Trade
PROPQUEST_INC_001108,I found out the common thing between them based on the data you brought me. I think it has something to do with supernatural power!,I found out the common thing between them based on the data you brought me. I think it has something to do with supernatural power!
PROPQUEST_INC_001109,These kids were all afraid of the former mayor and their parents for some reason…,These kids were all afraid of the former mayor and their parents for some reason…
PROPQUEST_INC_001110,"They were abandoned and kicked out of the city! Wow, that can't be true, can it?!","They were abandoned and kicked out of the city! Wow, that can't be true, can it?!"
PROPQUEST_INC_001112,We have to uncover the truth in this case and make sure it never happens again. Will you help me?!,We have to uncover the truth in this case and make sure it never happens again. Will you help me?!
PROPQUEST_INC_001113,"Awesome! Speak with the mayor again, and ask him to review this Disappearance Investigation.","Awesome! Speak with the mayor again, and ask him to review this Disappearance Investigation."
PROPQUEST_INC_001114,How can you refuse to help when we are so close to discovering the truth!?,How can you refuse to help when we are so close to discovering the truth!?
PROPQUEST_INC_001115,"Hmm... This is very intriguing new information. Very well, I'll make a special inquiry group and check the case again. Please tell Porgo I said thanks.","Hmm... This is very intriguing new information. Very well, I'll make a special inquiry group and check the case again. Please tell Porgo I said thanks."
PROPQUEST_INC_001116,"Saint City is being developed even today. By the way, why did Porgo tell you to meet me? Do you have something to show me?","Saint City is being developed even today. By the way, why did Porgo tell you to meet me? Do you have something to show me?"
PROPQUEST_INC_001117,Bring the Disappearance Investigation report to the Mayor or Saint City.,Bring the Disappearance Investigation report to the Mayor or Saint City.
PROPQUEST_INC_001119,"Mia, the Cursed Name","Mia, the Cursed Name"
PROPQUEST_INC_001120,We made an inquiry group and started to review the case again. I can't believe something this horrific has happened in Saint City.,We made an inquiry group and started to review the case again. I can't believe something this horrific has happened in Saint City.
PROPQUEST_INC_001121,I suppose it's better late than never. Will you return to Porgo and let him know that we are investigating the case again? His cooperation is appreciated.,I suppose it's better late than never. Will you return to Porgo and let him know that we are investigating the case again? His cooperation is appreciated.
PROPQUEST_INC_001122,Thank you. I will do everything I can to make Saint City more beautiful and peaceful than it already is.,Thank you. I will do everything I can to make Saint City more beautiful and peaceful than it already is.
PROPQUEST_INC_001123,"I tour the city every day, so I am extremely busy. Please tell him what I said.","I tour the city every day, so I am extremely busy. Please tell him what I said."
PROPQUEST_INC_001124,Has the truth finally been revealed? It has?! I am so glad to hear that the case has been reopened.,Has the truth finally been revealed? It has?! I am so glad to hear that the case has been reopened.
PROPQUEST_INC_001125,"Thank you so much for your help, young one. I couldn't have done all this alone. The girls thank you, as well.","Thank you so much for your help, young one. I couldn't have done all this alone. The girls thank you, as well."
PROPQUEST_INC_001126,"Have you spoken to the Mayor? Please hurry, this case needs to be reopened!","Have you spoken to the Mayor? Please hurry, this case needs to be reopened!"
PROPQUEST_INC_001127,Speak with Porgo and tell him the good news.,Speak with Porgo and tell him the good news.
PROPQUEST_INC_001129,Legendary Redmantis (Part 1),Legendary Redmantis (Part 1)
PROPQUEST_INC_001130,"Hey you! Yeah, you! Come here for a minute… I would like to speak with about something.","Hey you! Yeah, you! Come here for a minute… I would like to speak with about something."
PROPQUEST_INC_001131,"My name is Rudvihil, and I am a collector or rare and expensive artifacts. I'm always on the lookout for something new and precious.","My name is Rudvihil, and I am a collector or rare and expensive artifacts. I'm always on the lookout for something new and precious."
PROPQUEST_INC_001132,"Anyway, to the point, I heard some rumors that there is a very rare artifact in Saint Morning.","Anyway, to the point, I heard some rumors that there is a very rare artifact in Saint Morning."
