Key,English,Dutch
UI_GUILDCOMBAT_STATE_APPLY,Apply,Toepassen
UI_GUILDCOMBAT_STATE_APPLY_TIP,Open the Guild Siege application window,Open the Guild Siege application window
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Vernieuwen
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Refresh the current application status,Refresh the current application status
UI_GUILDCOMBAT_STATE_LIST_TIP,Shows all applicants and their bid ranks,Shows all applicants and their bid ranks
UI_GUILDCOMBAT_CANCEL_TITLE,Cancel Guild Siege Application,Cancel Guild Siege Application
UI_GUILDCOMBAT_CANCEL_MSG,Withdraw your application for the Guild Siege?,Withdraw your application for the Guild Siege?
UI_GUILDCOMBAT_SELECT_TITLE,Guild Siege Lineup,Guild Siege Lineup
UI_GUILDCOMBAT_SELECT_CONNECTED,Online Guild Members,Online Guild Members
UI_GUILDCOMBAT_SELECT_ENTRANT,Lineup,Lineup
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add the selected member to the lineup,Add the selected member to the lineup
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Remove the selected member from the lineup,Remove the selected member from the lineup
UI_GUILDCOMBAT_SELECT_UP_TIP,Move the selected member up in the lineup,Move the selected member up in the lineup
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Move the selected member down in the lineup,Move the selected member down in the lineup
UI_GUILDCOMBAT_SELECT_COMPLETE,Confirm,Confirm
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Save and confirm the lineup,Save and confirm the lineup
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Verdediger
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Designate the selected member as Defender,Designate the selected member as Defender
UI_GUILDCOMBAT_SELECT_REMAKE,Reset,Reset
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Reset the lineup,Reset the lineup
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents gain 1 bonus point when your guild's Defender is killed.,Opponents gain 1 bonus point when your guild's Defender is killed.
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting team: %d members (Max participants: %d),Register your team. Starting team: %d members (Max participants: %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,Set your lineup here. The first 6 members in the lineup will enter the Guild Siege combat area first.,Set your lineup here. The first 6 members in the lineup will enter the Guild Siege combat area first.
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Reset your lineup and start over?,Reset your lineup and start over?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Entry,Guild Siege Entry
UI_GUILDCOMBAT_TELE_MSG,Guild Siege entry is now open. Teleport to the entry NPC?,Guild Siege entry is now open. Teleport to the entry NPC?
UI_GUILDCOMBAT_JOIN_TITLE,Enter Guild Siege Arena,Enter Guild Siege Arena
UI_GUILDCOMBAT_JOIN_MSG,Enter the Guild Siege Arena now?,Enter the Guild Siege Arena now?
UI_NETWORK_ERROR_TITLE,Network Error,Network Error
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.","A network error happened, please check your connection and login again."
UI_GUILDCOMBAT_JOINWAR_TITLE,Select Entry Zone,Select Entry Zone
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered zone 1.,You have entered zone 1.
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered zone 2.,You have entered zone 2.
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered zone 3.,You have entered zone 3.
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered zone 4.,You have entered zone 4.
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered zone 5.,You have entered zone 5.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered zone 6.,You have entered zone 6.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered zone 7.,You have entered zone 7.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered zone 8.,You have entered zone 8.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,Select the zone you wish to enter.
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.","In %d seconds, you will enter zone %s."
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,Willekeurig
UI_CHAT_ADMIN,[Admin] %s,[Admin] %s
UI_GUILDCOMBAT_RATE,Guild Rankings,Guild Rankings
UI_GUILDCOMBAT_PERSON_RATE,Player Rankings,Player Rankings
UI_TOOLTIP_EXPBOX,#b%s's EXP box#nb\nTime left: %s,#b%s's EXP box#nb\nTime left: %s
UI_GUILDCOMBAT_JOIN_READY,You will enter the combat area when one of your guildmates is defeated.,You will enter the combat area when one of your guildmates is defeated.
UI_GUILDCOMBAT_JOIN_READY2,Prepare yourself!,Prepare yourself!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] defeated [%s]%s [%s] and gained %d points.,[%s]%s [%s] defeated [%s]%s [%s] and gained %d points.
UI_GUILDCOMBAT_LOG_MASTER,Guild Master,Guild Master
UI_GUILDCOMBAT_LOG_DEFENDER,Defender,Verdediger
UI_GUILDCOMBAT_RESULT_TITLE,Guild Siege Results,Guild Siege Results
UI_GUILDCOMBAT_RESULT_GUILD,Guild Rankings,Guild Rankings
UI_GUILDCOMBAT_RESULT_MEMBER,Player Rankings,Player Rankings
UI_GUILDCOMBAT_RESULT_RANK,Rankings,Rankings
UI_GUILDCOMBAT_RESULT_LOG,Battle Log,Battle Log
UI_GUILDCOMBAT_LOG_GUILD,[%s],[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2,Basic Point +2
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1,Guild Master Bonus +1
UI_GUILDCOMBAT_LOG3,Defender Bonus +1,Defender Bonus +1
UI_GUILDCOMBAT_LOG4,Kill bonus +1,Kill bonus +1
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1,Resurrecting Bonus +1
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d,Killing streak Bonus +%d
UI_GUILDCOMBAT_LOG_POINT,(%d grade),(%d grade)
UI_GUILDCOMBAT_LOG_ATTACK,Attack,Aanvallen
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Create a Dragon Cloak (Requires winning the Guild Siege),Create a Dragon Cloak (Requires winning the Guild Siege)
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"Creating a Dragon Cloak costs 10,000 Penya. Create it now?","Creating a Dragon Cloak costs 10,000 Penya. Create it now?"
UI_GUILDCOMBAT_RANKING_TITLE,Guild Siege Player Rankings,Guild Siege Player Rankings
UI_GUILDCOMBAT_RANKING_RANK,Rank,Rang
UI_GUILDCOMBAT_RANKING_POINT,Points,Points
UI_WORLD_DEVICEMOTION_TIP,Motion,Motie
UI_WORLD_TURBO_TIP,Fuel,Fuel
UI_NAVIGATOR_SHIP,Ship,Ship
UI_OPTION_TOON_STYLE,Outline,Omlijning
UI_OPTION_RIM_OUTLINE,Rim Outlines,Rim Outlines
UI_APP_WIKI_TIP,Browse the Flyffipedia,Bekijk de Flyffipedia
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!,I challenge you to a game of Rock-Paper-Scissors!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors,Steen-Papier-Schaar
UI_ROSHAMBO_VS,VS,VS
UI_ROSHAMBO_SCISSOR,Scissors,Schaar
UI_ROSHAMBO_ROCK,Rock,Steen
UI_ROSHAMBO_PAPER,Paper,Papier
UI_ROSHAMBO_WINNINGCOUNT,%d win(s),%d overwinning(en)
UI_ROSHAMBO_DEFEAT,You Lose!,Je hebt verloren!
UI_ROSHAMBO_WIN_TITLE,You Win!,Je hebt gewonnen!
UI_ROSHAMBO_WIN_END,End,End
UI_ROSHAMBO_WIN_NEXT,Next,Volgende
UI_ROSHAMBO_WIN_MSG,"Press ""End"" to claim your current prize and stop playing, or press ""Next"" to keep playing for more prizes.","Press ""End"" to claim your current prize and stop playing, or press ""Next"" to keep playing for more prizes."
UI_ROSHAMBO_WIN_MSG2,"Note: If you keep playing, you will forfeit your current prize.","Note: If you keep playing, you will forfeit your current prize."
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d.","Congratulations, you won %d time(s)! You receive %s x%d."
UI_EXCHANGE_COUNT_TITLE,Input Item Quantity,Input Item Quantity
UI_EXCHANGE_COUNT_MSG,How many?,Hoeveel?
UI_EXCHANGE_COUNT_LABEL,Number:,Nummer:
UI_TOOLTIP_PET_REAR,[Raised Pet],[Raised Pet]
UI_TOOLTIP_PET_PICKUP,[Pickup Pet],[Pickup Pet]
UI_PET_GRADE_0,Egg,Ei
UI_PET_GRADE_1,F Tier,F Tier
UI_PET_GRADE_2,E Tier,E Tier
UI_PET_GRADE_3,D Tier,D Tier
UI_PET_GRADE_4,C Tier,C Tier
UI_PET_GRADE_5,B Tier,B Tier
UI_PET_GRADE_6,A Tier,A Tier
UI_PET_GRADE_7,S Tier,S Tier
UI_PET_EXP_MAX,EXP: 99.99%,EXP: 99.99%
UI_PET_EXP,EXP: %.2f%%,EXP: %.2f%%
UI_TOOLTIP_ABILITY,Bonus,Bonus
UI_PET_HP,Energy: %d / %d,Energy: %d / %d
UI_PET_LEVEL,Lv%d,Lv%d
UI_PET_DEAD,(DEAD),(DOOD)
UI_PET_REROLL_TIER,Scroll-rerolled tier:,Scroll-rerolled tier:
UI_TARGET_CLEAR,Clear target,Clear target
UI_OPTION_TAB_UI,Interface,Gebruikersinterface
UI_OPTION_AUTO_ATTACK,Auto Attack,Auto Attack
UI_OPTION_FIXED_CAMERA,Fixed Camera,Fixed Camera
UI_OPTION_OTHER_DAMAGES,Display All Damage,Display All Damage
UI_OPTION_HIDE_OTHER_PLAYERS,Hide Other Players,Hide Other Players
UI_OPTION_TRANSPARENT_CHAT,Transparent chat,Transparent chat
UI_OPTION_RIGHT_CLICK_MENU,Right-Click Player Menu,Right-Click Player Menu
UI_OPTION_TOP_PLAYER_GAUGES,MP & FP Gauges,MP & FP Gauges
UI_OPTION_TOP_PLAYER_GAUGES_TIP,Enables FP & MP gauges above the player.,Enables FP & MP gauges above the player.
UI_OPTION_SELECT_PETS,Select Pets,Select Pets
UI_FACE_SHOP_TITLE,Plastic Surgery,Plastic Surgery
UI_FACE_SHOP_BASE_FACE,Current Face,Vriendelijk Gezicht
UI_FACE_SHOP_NEW_FACE,New Face,Nieuw Gezicht
UI_TOOLTIP_SPELL_RANGE,Spell Range: %d,Spell Range: %d
UI_TOOLTIP_COMBO_TYPE,Combo: %s,Combo: %s
UI_TOOLTIP_COMBO_STEP,Starter,Starter
UI_TOOLTIP_COMBO_CIRCLE,Link,Cirkel
UI_TOOLTIP_COMBO_FINISH,Finisher,Finisher
UI_TOOLTIP_BASE_DAMAGE,Base Damage: %d ~ %d,Base Damage: %d ~ %d
UI_TOOLTIP_DMG_MUL,Damage Multiplier: %.2f,Damage Multiplier: %.2f
UI_TOOLTIP_SCALE_ATTACK,Attack Scaling,Attack Scaling
UI_TOOLTIP_SCALE_HEAL,Heal Scaling,Heal Scaling
UI_TOOLTIP_SCALE_TIME,Time Scaling,Time Scaling
UI_TOOLTIP_SCALE_CHARGE,Dec. Charging Time Scaling,Dec. Charging Time Scaling
UI_TOOLTIP_SCALE_PARAM,Scaling,Schalen
UI_TOOLTIP_SCALE_PARAM_PER,per,per
UI_TOOLTIP_SCALE_PARAM_MAX,max,max
UI_TOOLTIP_PVP,PvP,PvP
UI_TOOLTIP_PVE,PvE,PvE
UI_TOOLTIP_AROUND,Around,Rondom
UI_TOOLTIP_BASE_HEAL,Base Heal: %d,Base Heal: %d
UI_TOOLTIP_BASE_HEAL_MP,Base MP Heal: %d,Base MP Heal: %d
UI_TOOLTIP_BASE_HEAL_FP,Base FP Heal: %d,Base FP Heal: %d
UI_TOOLTIP_BASE_TIME,Base Time: %.2d:%.2d.%.3d,Base Time: %.2d:%.2d.%.3d
UI_TOOLTIP_BASE_TIME_PVP,/ %.2d:%.2d (PvP & Giants),/ %.2d:%.2d (PvP & Giants)
UI_TOOLTIP_PROBABILITY,Probability: %d%%,Probability: %d%%
UI_TOOLTIP_PROBABILITY_PVP,/ %d%% (PvP & Giants),/ %d%% (PvP & Giants)
UI_TOOLTIP_PROBABILITY_FLYBACK,Knockdown Probability: %d%%,Knockdown Probability: %d%%
UI_TOOLTIP_COOLDOWN,Cooldown: %.2d:%.2d,Cooldown: %.2d:%.2d
UI_TOOLTIP_COOLDOWN_PVP,/ %.2d:%.2d (PvP),/ %.2d:%.2d (PvP)
UI_TOOLTIP_COOLDOWN_ONLY_PVP,Cooldown: %.2d:%.2d (PvP),Cooldown: %.2d:%.2d (PvP)
UI_TOOLTIP_COOLDOWN_ONEND,(After Expiry),(After Expiry)
UI_TOOLTIP_CASTING,Casting Time: %.2d:%.2d,Casting Time: %.2d:%.2d
UI_TOOLTIP_CHARGING,Charging Time: %.2d:%.2d,Charging Time: %.2d:%.2d
UI_NEWCHAR_FACE,Face,Gezicht
UI_NEWCHAR_HAIR,Hair,Haar
UI_NEWCHAR_HAIR_COLOR,Hair Color,Hair Color
UI_WORLD_ZOOM_LEVEL,%dX Zoom. Press Scroll Lock to cycle zoom levels.,%dX Zoom. Druk op de Scroll Lock-toets om te schakelen.
UI_KEYBIND_CHAR_CONTROL,Movement Keys,Bewegingstoetsen
UI_KEYBIND_MOVE_FORWARD,Move Forward,Beweeg Vooruit
UI_KEYBIND_MOVE_BACKWARD,Move Backward,Beweeg Achteruit
UI_KEYBIND_TURN_LEFT,Turn Left,Draai naar links
UI_KEYBIND_TURN_RIGHT,Turn Right,Draai naar rechts
UI_KEYBIND_JUMP,Jump,Springen
UI_KEYBIND_WALK,Toggle Run/Walk,Schakel tussen Rennen/lopen
UI_KEYBIND_SKILL_COMBO,Action Slot,Action Slot
UI_KEYBIND_CLEAR_TARGET,Clear Target,Clear Target
UI_KEYBIND_TRACE_TARGET,Follow Target,Volg Doelwit
UI_KEYBIND_SELECT_TARGET,Cycle Targets (PvP),Cycle Targets (PvP)
UI_KEYBIND_APPLETS,Windows,Vensters
UI_KEYBIND_CAMERA,Camera Controls,Camerabediening
UI_KEYBIND_CAMERA_LEFT,Rotate Left,Draai naar links
UI_KEYBIND_CAMERA_RIGHT,Rotate Right,Draai naar rechts
UI_KEYBIND_CAMERA_UP,Rotate Up,Draai Omhoog
UI_KEYBIND_CAMERA_DOWN,Rotate Down,Draai Omlaag
UI_KEYBIND_ZOOM_IN,Zoom In,Inzoemen
UI_KEYBIND_ZOOM_OUT,Zoom Out,Uitzoemen
UI_KEYBIND_ZOOM_LEVEL,Toggle Zoom,Toggle Zoom
UI_KEYBIND_TASKBAR,Taskbar Functions,Taakbalk Functies
UI_KEYBIND_TASKBAR_N,Taskbar %d,Taakbalk %d
UI_KEYBIND_TASKBAR_SLOT,Taskbar Slot %d,Taskbar Slot %d
UI_KEYBIND_TASKBAR2_SLOT,2nd Bar Slot %d,2nd Bar Slot %d
UI_KEYBIND_TASKBAR3_SLOT,3rd Bar Slot %d,3rd Bar Slot %d
UI_KEYBIND_TASKBAR2,Additional Taskbars,Additional Taskbars
UI_KEYBIND_FULLSCREEN,Toggle Fullscreen,Schakel Volledig scherm in
UI_KEYBIND_MAIN_MENU,Main Menu,Hoofdmenu
UI_KEYBIND_TOGGLE_UI,Hide/Show UI,Gebruikersinterface verbergen/tonen
UI_KEYBIND_TOGGLE_SCREENSHOT,Screenshot Mode,Screenshot Mode
UI_KEYBIND_GAME,Game Functions,Spelfuncties
UI_KEYBIND_NONE,Not Bound,Niet Gebonden
UI_KEYBIND_UNBIND,Unbind key,Unbind key
UI_KEYBIND_TITLE,Keys,Keys
UI_KEYBIND_RESET,Reset,Reset
UI_UPGRADECARD_TITLE,Upgrade Suit Socket Cards,Upgrade Suit Socket Cards
UI_UPGRADECARD_REGISTER,Insert suit cards.,Insert suit cards.
UI_UPGRADECARD_INFO,Fuse 10 suit cards for a chance to get 1 higher-grade card.,Fuse 10 suit cards for a chance to get 1 higher-grade card.
UI_RESHUFFLECARD_TITLE,Weapon Socket Card Reroll,Weapon Socket Card Reroll
UI_RESHUFFLECARD_REGISTER,Insert weapon cards to use as materials.,Insert weapon cards to use as materials.
UI_RESHUFFLECARD_INFO,Fuse 3 weapon cards to receive 1 card of the same grade.,Fuse 3 weapon cards to receive 1 card of the same grade.
UI_RESHUFFLECARD_CONFIRM,Rerolling will consume the material cards. Proceed?,Rerolling will consume the material cards. Proceed?
UI_CONVERTSOULLINK_TITLE,Convert to Soul-Linked,Convert to Soul-Linked
UI_CONVERTSOULLINK_INFO,"The item will become soul-linked and can no longer be sold to NPCs. You can use this process to stack identical items that otherwise cannot be stacked due to differing properties. Note: Soul-linked items cannot be traded, and this action cannot be undone.","The item will become soul-linked and can no longer be sold to NPCs. You can use this process to stack identical items that otherwise cannot be stacked due to differing properties. Note: Soul-linked items cannot be traded, and this action cannot be undone."
UI_CONVERTSOULLINK_CONFIRM,This action cannot be undone.\nProceed?,This action cannot be undone.\nProceed?
UI_CONVERTSOULLINK_NOTAVAILABLE,This item cannot be converted.,This item cannot be converted.
UI_GUILD_SCROLLGADD_CONFIRM,This scroll permanently increases your guild's member limit by 5. It only applies to your current guild and will not affect any guild you join later. Use it now?,This scroll permanently increases your guild's member limit by 5. It only applies to your current guild and will not affect any guild you join later. Use it now?
UI_GUILD_TOOLTIP_EXP,EXP:,EXP:
UI_GUILD_TOOLTIP_GOLD,Penya:,Penya:
UI_GUILD_TOOLTIP_LEVEL,#bNext level: %d#nb,#bNext level: %d#nb
UI_CHANGECHANNEL_TITLE,Change Channel,Change Channel
UI_CHANGECHANNEL_MSG,Select channel:,Selecteer kanaal:
UI_REPORT_TITLE,Report,Rapporteren
UI_REPORT_PLAYER_LABEL,Player,Speler
UI_REPORT_REASON_LABEL,Reason,Reden
UI_REPORT_MESSAGE_LABEL,Message,Bericht
UI_REPORT_SEND,Send,Verzenden
UI_REPORT_REASON0,Botting,Botting
UI_REPORT_REASON1,Real money transfer,Real money transfer
UI_REPORT_REASON2,Cheating / hacking,Valsspelen / hacken
UI_REPORT_REASON3,Bad behavior,Slecht gedrag
UI_REPORT_REASON4,Insults,Beledigingen
UI_REPORT_CONFIRM,Are you sure you want to report %s?\n\nAbuse of this feature may result in your account being banned.,Weet je zeker dat je %s wilt rapporteren?\n\nMisbruik van deze functie kan leiden tot een account ban.
UI_APP_ACHIEVEMENTS_TIP,View your achievements.,Geeft het Prestatiemenu weer.
UI_ACHIEVEMENTS_TITLE,Achievements,Prestaties
UI_ACHIEVEMENTS_GENERAL_TAB,General,General
UI_ACHIEVEMENTS_MONSTERS_TAB,Monsters,Monsters
UI_ACHIEVEMENTS_CONSUMABLES_TAB,Consumables,Consumables
UI_ACHIEVEMENTS_TITLES_TAB,Titles & Badges,Titles & Badges
UI_ACHIEVEMENTS_EVENTS_TAB,Events,Events
UI_ACHIEVEMENTS_PLAYTIME_TAB,Play time,Speeltijd
UI_ACHIEVEMENTS_CONNECTION_SERIES_TAB,Login Streak,Verbindingseries
UI_ACHIEVEMENTS_TOTAL_CONNECTION_TAB,Login Rewards,Login Rewards
UI_ACHIEVEMENTS_DESCRIPTION,Description,Beschrijving
UI_ACHIEVEMENTS_DESCRIPTION_BINDS,This achievement is bound to your account.,This achievement is bound to your account.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETMONSTERS,Monster(s) to kill: %s.,Monster(s) to kill: %s.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETITEMS,Item(s) to use: %s.,Item(s) to use: %s.
UI_ACHIEVEMENTS_REWARD,Reward List,Beloningslijst
UI_ACHIEVEMENTS_REWARD_TITLE,Title: #b%s#nb,Title: #b%s#nb
UI_ACHIEVEMENTS_REWARD_LEVEL,Level %d,Level %d
UI_ACHIEVEMENTS_REWARD_CLAIMED,Claimed,Claimed
UI_ACHIEVEMENTS_REWARD_GOLD,Penya:,Penya:
UI_ACHIEVEMENTS_REWARD_ITEM,Item(s): %s,Item(s): %s
UI_ACHIEVEMENTS_REWARD_ATK,Increased Attack against target(s): %d%%,Increased Attack against target(s): %d%%
UI_ACHIEVEMENTS_PROGRESSION,Achievement Progress,Voortgang
UI_ACHIEVEMENTS_CARD_LEVEL,Level %d,Level %d
UI_ACHIEVEMENTS_CARD_BONUS,Attack +%s%%,Attack +%s%%
UI_ACHIEVEMENTS_NOTITLE,(No Title),(No Title)
UI_ACHIEVEMENTS_NOTITLE_DESCRIPTION,Hide your title.,Hide your title.
UI_ACHIEVEMENTS_PVPTITLE,PvP Title,PvP Title
UI_ACHIEVEMENTS_PVPTITLE_CURRENT,"(Currently ""%s"")","(Momenteel ""%s"")"
UI_ACHIEVEMENTS_PVPTITLE_DESCRIPTION,Display your current PvP title.,Display your current PvP title.
UI_ACHIEVEMENTS_TITLES_SELECT,Apply,Selecteren
UI_ACHIEVEMENTS_TITLES_FROM,Unlocked By,Van
UI_ACHIEVEMENTS_CLAIMBTN,Claim,Claim
UI_ACHIEVEMENTS_CLAIMTIP,Claim your rewards,Claim your rewards
UI_ACHIEVEMENTS_CLAIMTIP_RAND,Try your luck and see what you get today!,Try your luck and see what you get today!
UI_ACHIEVEMENTS_AVAILABLE,Available,Available
UI_ACHIEVEMENTS_COMPLETED,This achievement has been completed!,This achievement has been completed!
UI_TOOLTIP_PARTY_LEVEL,Required Party Level: %d,Required Party Level: %d
UI_TOOLTIP_PARTY_POINTS,Required Points: %d,Vereiste Punten: %d
UI_PARTY_PERMANENT_CONFIRM,This scroll will transform your party into a permanent party. Offline members will no longer be removed automatically. This scroll applies only to your current party and will not affect any party you create or join later. Use it now?,This scroll will transform your party into a permanent party. Offline members will no longer be removed automatically. This scroll applies only to your current party and will not affect any party you create or join later. Use it now?
UI_PARTY_PERMANENT,Permanent Party,Permanent Party
UI_SEARCHPARTY_TITLE,Search Party,Search Party
UI_SEARCHGUILD_TITLE,Search Guild,Search Guild
UI_GROUPSEARCH,Search,Zoeken
UI_TOOLTIP_TRANSMUTE,Transmutation:,Transmutation:
UI_TOOLTIP_RARITY,Rarity:,Zeldzaamheid:
UI_TOOLTIP_RARITY_NORMAL,Common,Gewoon
UI_TOOLTIP_RARITY_RARE,Uncommon,Ongewoon
UI_TOOLTIP_RARITY_STRONG,Rare,Zeldzaam
UI_TOOLTIP_RARITY_UNIQUE,Unique,Uniek
UI_TOOLTIP_RARITY_VERYRARE,Very Rare,Zeer Zeldzaam
UI_TOOLTIP_RARITY_ULTIMATE,Ultimate,Ultimate
UI_WORLD_CASTING,Casting,Casting
UI_WORLD_HARVESTING,Harvesting,Harvesting
UI_WORLD_OPENING,Opening,Opening
UI_WORLD_CHARGING,Charging,Charging
UI_NAVIGATOR_LOCALTIME,Local Time,Lokale Tijd
UI_NAVIGATOR_SERVERTIME,Server Time,Server Tijd
UI_NAVIGATOR_MADRIGALTIME,Madrigal Time,Madrigal Time
UI_UPGRADESAFE_STOP,Stop,Stop
UI_UPGRADESAFE_RESET,Reset,Reset
UI_UPGRADESAFE_MATERIAL_NORMAL,Power Dice,Power Dice
UI_UPGRADESAFE_MATERIAL_ULTIMATE,Sunstone,Sunstone
UI_UPGRADESAFE_MATERIAL_ELEMENT,Card,Card
UI_UPGRADESAFE_COST,#b%s#nb per attempt,#b%s#nb per attempt
UI_UPGRADESAFE_TARGET_PIERCING,Piercing Goal,Piercing Goal
UI_UPGRADESAFE_TARGET,Upgrade Goal,Upgrade Goal
UI_UPGRADESAFE_CURRENT_PIERCING,~Piercings~,~Piercings~
UI_UPGRADESAFE_CURRENT,~Current Value~,~Current Value~
UI_SEARCHGROUP_MODE_NO,Not Listed,Not Listed
UI_SEARCHGROUP_MODE_CONFIRM,Requires Leader Approval,Requires Leader Approval
UI_SEARCHGROUP_MODE_FREE,Open to Anyone,Open to Anyone
UI_GROUPSEARCH_REFRESH,Refresh,Vernieuwen
UI_GROUPSEARCH_FILTER,Filter:,Filter:
UI_GROUPSEARCH_SORT,Sort:,Sort:
UI_GROUPSEARCH_PARTYNAME,Party Name,Party Name
UI_GROUPSEARCH_GUILDNAME,Guild Name,Guild Naam
UI_GROUPSEARCH_LEADER,Leader,Leider
UI_GROUPSEARCH_MASTER,Master,Meester
UI_GROUPSEARCH_LEVEL,Level,Level
UI_GROUPSEARCH_MEMBERS,Members,Leden
UI_GROUPSEARCH_BUFFS,Buffs,Buffs
UI_GROUPSEARCH_LEADERLEVEL,Leader Level,Leader Level
UI_GROUPSEARCH_LEADERNAME,Leader Name,Leader Name
UI_GROUPSEARCH_MASTERLEVEL,Master Level,Master Level
UI_GROUPSEARCH_MASTERNAME,Master Name,Master Name
UI_GROUPSEARCH_ALL,All,Alle
UI_GROUPSEARCH_FRIENDS,Friend Leaders,Friend Leaders
UI_GROUPSEARCH_STRANGERS,Non-Friend Leaders,Non-Friend Leaders
UI_GROUPSEARCH_MASTERFRIENDS,Friend Masters,Friend Masters
UI_GROUPSEARCH_MASTERSTRANGERS,Non-Friend Masters,Non-Friend Masters
UI_GROUPSEARCH_JOIN,Join,Meedoen
UI_GROUPSEARCH_LEADERAPPROVAL,Your request must be approved by the leader.,Your request must be approved by the leader.
UI_GROUPSEARCH_MASTERAPPROVAL,Your request must be approved by the master.,Your request must be approved by the master.
UI_PARTY_JOINQUESTION,%s wants to join your party. Accept the request?,%s wants to join your party. Accept the request?
UI_GUILD_SEARCHNOTICE,Advertisement,Advertisement
UI_GUILD_SEARCHNOTICE_TIP,Setup your guild's notice in the Guild Finder,Setup your guild's notice in the Guild Finder
UI_DAMAGEMETER_RESET,Reset Damage Statistics,Reset Damage Statistics
UI_DAMAGEMETER_TITLE,Damage Stats %d/%d,Damage Stats %d/%d
UI_TOOLTIP_SKILL_NOFLY,Flying: No,Flying: No
UI_DAMAGEMETER_TOGGLE,Show/hide Damage Statistics,Show/hide Damage Statistics
UI_SHOP_QUICK_SELL,Quick Sell,Snel Verkopen
UI_SHOP_QUICK_SELL_TIP,Quickly sell a category of items.,Quickly sell a category of items.
UI_SHOP_BUY_BACK,Buy Back,Terugkopen
UI_SHOP_BUY_BACK_TIP,Buy back items you recently sold by mistake.,Buy back items you recently sold by mistake.
UI_SHOP_QUICK_SELL_CONFIRM,Sell,Verkopen
UI_SHOP_QUICK_SELL_TOTAL,Total:,Totaal:
UI_SHOP_QUICK_SELL_UNCOMMON,Uncommon & Lower,Ongewoon & Lager
UI_SHOP_QUICK_SELL_RARE,Rare & Lower,Zeldzaam & Lager
UI_SHOP_QUICK_SELL_FOOD,Food,Voedsel
UI_SHOP_QUICK_SELL_POTION,Potion,Potion
UI_SHOP_BACK_TITLE,Buy back item,Item terugkopen
UI_SHOP_BACK_CONFIRM,Buy this item back for %s Penya?,Buy this item back for %s Penya?
UI_TOOLTIP_BOWRANGE,Bow Range,Bow Range
UI_TOOLTIP_SKILLUP,Skill Damage,Skill Damage
UI_TOOLTIP_SKILLUP_1V1,1v1 Skill Damage,1v1 Skill Damage
UI_TOOLTIP_HEALUP,Healing,Healing
UI_TOOLTIP_SKILLRANGE,Skill Range,Skill Range
UI_MAP_MENU,Menu,Menu
UI_MAP_MENU_TIP,Hide/Show the menu,Hide/Show the menu
UI_TOOLTIP_RESTOREUP,HP Restoration,HP Restoration
UI_OPTION_FRAMERATE,FPS,FPS
UI_OPTION_FRAMERATE_TIP,Frames Per Second,Beelden per seconde
UI_OPTION_FRAMERATE_SYNC,VSync,VSync
UI_WORLD_FLY_EQUIP,Fly,Vliegen
UI_WORLD_FLY_UNEQUIP,Land,Landen
UI_WORLD_PARTY,Party x%d,Party x%d
UI_WORLD_BUFF,Buff x%d,Buff x%d
UI_QUESTGOAL_MOBILE,Quest,Missie
