Key,English,Thai
UI_REVIVAL_CASH_SHOP_TIP,Open the Flyff Shop to buy a Scroll of Resurrection,คุณสามารถใช้ไอเท็มพรีเมี่ยม
UI_REVIVAL_REVIVAL,Current Location,สถานที่เดิม
UI_REVIVAL_REVIVAL_TIP,Use a Scroll of Resurrection to revive at your current location,คุณจะฟื้นขึ้นมาในตำแหน่งที่คุณตาย
UI_COMMITEM_DIALOG_TITLE,Use Item,ใช้ไอเท็ม
UI_RESTATE_CONFIRM_TITLE,Confirm Stat Reset,ยืนยันการ Re-Stat
UI_RESTATE_CONFIRM_ALL,"This will reset all character stats, and the points will be returned to you. Continue?",Stat ตัวละครทั้งหมดจะถูก Reset ดำเนินการต่อหรือไม่?
UI_RESTATE_CONFIRM_STR,"Your Strength (STR) stat will be reset, and the points will be returned to you. Continue?",ค่า Strength (STR) จะถูก Reset และจะได้รับ Point คืน ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_STA,"Your Stamina (STA) stat will be reset, and the points will be returned to you. Continue?",ค่า Stamina (STA) จะถูก Reset และจะได้รับ Point คืน ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_DEX,"Your Dexterity (DEX) stat will be reset, and the points will be returned to you. Continue?",ค่า Dexterity (DEX) จะถูก Reset และจะได้รับ Point คืน ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_INT,"Your Intellect (INT) stat will be reset, and the points will be returned to you. Continue?",ค่า Intellect (INT) จะถูก Reset และจะได้รับ Point คืน ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_STR_LOW,50 Strength (STR) points will be returned to you. Continue?,เราจะคืนค่า Strength (STR) ให้คุณ 50 points ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_STA_LOW,50 Stamina (STA) points will be returned to you. Continue?,เราจะคืนค่า Stamina (STA) ให้คุณ 50 points ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_DEX_LOW,50 Dexterity (DEX) points will be returned to you. Continue?,เราจะคืนค่า Dexterity (DEX) ให้คุณ 50 points ดำเนินการต่อหรือไม่ ??
UI_RESTATE_CONFIRM_INT_LOW,50 Intelligence (INT) points will be returned to you. Continue?,เราจะคืนค่า Intelligence (INT) ให้คุณ 50 points ดำเนินการต่อหรือไม่ ??
UI_OPTION_BATTLEBGM,Battle Music,Battle Music
UI_OPTION_VOICES,Japanese Voices,เสียงภาษาญี่ปุ่น
UI_PK_CONFIRM_TITLE,P.K,P.K
UI_PK_CONFIRM,Killing players increases your PK value. Attack this player?,คุณกำลังจะก่ออาชญากรรม คุณยืนยันที่จะโจมตี?
UI_BANK_ENTERPASS_TITLE,Bank PIN,รหัสผ่านคลัง
UI_BANK_ENTERPASS_MSG,Enter Bank PIN (4 digits),กรอกรหัสผ่านคลัง (4 หลัก)
UI_BANK_ENTERPASS_PIN,PIN,PIN
UI_BANK_ENTERPASS_CHANGE,Change,เปลี่ยน
UI_BANK_CHANGEPASS_TITLE,Bank PIN,PIN คลัง
UI_BANK_CHANGEPASS_MSG,Set/Change Bank PIN (4 Digits),ตั้ง/เปลี่ยน PIN คลัง (4 หลัก)
UI_BANK_CHANGEPASS_OLD,Old PIN:,PIN หลัก:
UI_BANK_CHANGEPASS_NEW,New PIN:,PIN ใหม่:
UI_BANK_CHANGEPASS_CONFIRM,Confirm PIN:,ยืนยันPIN:
UI_BANK_TITLE,Bank,คลัง
UI_DUELREQUEST_TITLE,Duel Request,คำขอท้าดวล
UI_DUELREQUEST_BETMSG,How much would you like to bet on this duel?,คุณต้องการเดิมพันเท่าไหร่ สำหรับการต่อสู้ครั้งนี้?
UI_DUELREQUEST_BETLBL,Penya:,Penya:
UI_DUELREQUEST_MSG,%s challenges you to a duel %s. Accept the duel?,%s ท้าดวลกับคุณ %s คุณยอมรับหรือไม่
UI_DUELREQUEST_PARTY,%s challenges your party to a duel %s. Accept the party duel?,%s ท้าดวลปาร์ตี้ของคุณ %s คุณยอมรับหรือไม่
UI_DUELREQUEST_NOBET,(no bet),(ไม่พนัน)
UI_DUELREQUEST_BETAMOUNT,with a %s Penya bet,พนันด้วย %s Penya 
UI_DUELRESULT_TITLE,Duel Result,ผลการท้าดวล
UI_DUELRESULT_WIN,%s wins the Duel!,%s ชนะการท้าดวล!
UI_DUELRESULT_LOSE,%s loses the Duel!,%s แพ้การท้าดวล!
UI_CASHSHOP_RELOAD,TOP-UP,TOP-UP
UI_CASHSHOP_LEGALINFO,Legal Information,ข้อมูลทางกฎหมาย
UI_CASHSHOP_GSC,General Sales Conditions,เงื่อนไขการขายทั่วไป
UI_CASHSHOP_SHOWALL,Show All,แสดงทั้งหมด
UI_CASHSHOP_SEARCH,Search:,ค้นหา:
UI_CASHSHOP_SORT_DEFAULT,Default,ค่าเริ่มต้น
UI_CASHSHOP_SORT_NAME_ASC,Name (A - Z),ชื่อ (A - Z)
UI_CASHSHOP_SORT_NAME_DESC,Name (Z - A),ชื่อ (Z - A)
UI_CASHSHOP_SORT_PRICE_ASC,Price (Low > High),ราคา (ต่ำ > สูง)
UI_CASHSHOP_SORT_PRICE_DESC,Price (High > Low),ราคา (สูง > ต่ำ)
UI_CASHSHOP_ITEMCOUNT,#b%d#nb items in this category.,#b%d#nb ไอเท็มในหมวดหมู่
UI_CASHSHOP_SEARCHCOUNT,#b%d#nb items found matching your search.,#b%d#nb ไอเทมที่ตรงกับการค้นหา
UI_CASHSHOP_EMPTY,No items found.,ไม่พบไอเท็ม
UI_CASHSHOP_CONFIRM_TITLE,Confirm Purchase,ยืนยันการซื้อ
UI_CASHSHOP_CONFIRM_MSG,Purchase %dx %s for %s?,คุณต้องการซื้อ %dx %s สำหรับ %s หรือไม่?
UI_CASHSHOP_ORIGINAL_PRICE,Original Price:,ราคาเดิม:
UI_CASHSHOP_PURCHASE,PURCHASE,ซื้อ
UI_CASHSHOP_QUANTITY,Quantity:,จำนวน:
UI_CASHSHOP_UNIT_PRICE,Unit Price:,ราคาต่อหน่วย:
UI_CASHSHOP_TOTAL_PRICE,Total Price:,ราคาทั้งหมด:
UI_CASHSHOP_LIMITED_OFFER,Limited Offer! Expires in #b%s#nb,ข้อเสนอจำกัด! หมดอายุใน #b%s#nb
UI_CASHSHOP_SUPP_ITEM_OFFER,Get %d additional item(s) per unit purchase!,รับ %d ไอเท็มเพิ่มเติมต่อการซื้อต่อหน่วย!
UI_CASHSHOP_PRODUCT_ID,Product ID:,สินค้า ID:
UI_OPTION_POSTPROCESSING,Post-processing,หลังการประมวลผล
UI_CASHSHOP_PURCHASEPROCESSING,"Processing the purchase, please wait...","กำลังประมวลผลการซื้อ,โปรดรอ..."
UI_GUILD_WAR_DECLARE_TITLE,Declare Guild Duel,ประกาศการดวลกิลด์
UI_GUILD_WAR_DECLARE_INPUT,Target Guild,กิลด์เป้าหมาย
UI_GUILD_WAR_REQUEST_TITLE,Guild Duel Request,คำขอท้าดวลกิลด์
UI_GUILD_WAR_REQUEST_MSG,"The guild leader of %s, %s, has declared a guild duel. Do you accept?","หัวหน้ากิลด์ของ %s, %s ประกาศการดวลกิลด์ คุณยอมรับหรือไม่"
UI_INDIRECTTALK_TITLE,Indirect conversation,บทสนทนาที่อ้อมค้อม
UI_INDIRECTTALK_MOVER,Mover ID,ผู้เสนอญัตติ ID
UI_CREATEITEM_TITLE,Create Item,สร้างไอเท็ม
UI_CREATEITEM_TYPE,Type,พิมพ์
UI_CREATEITEM_SEX,Sex,เพศ
UI_CREATEITEM_JOB,Job,Job
UI_CREATEITEM_LEVEL,Level,เลเวล
UI_CREATEITEM_QTY,Qty,จำนวน
UI_CREATEITEM_ITEM,Item,ไอเท็ม
UI_CREATEITEM_CREATE,Create,สร้าง
UI_GUILD_WAR_GIVEUP_TITLE,Surrender,ยอมแพ้
UI_GUILD_WAR_GIVEUP_MSG,Surrender the guild duel?,คุณยอมแพ้การท้าดวลกิลด์หรือไม่?
UI_GUILD_WAR_PEACE_TITLE,Truce,สงบศึก
UI_GUILD_WAR_PEACE_MSG,Propose a truce to the enemy guild?,คุณเสนอการพักรบกับกิลด์อีกฝ่ายหรือไม่?
UI_GUILD_WAR_PEACE_CONFIRM_TITLE,Truce Approval,อนุมัติสงบศึก
UI_GUILD_WAR_PEACE_CONFIRM_MSG,The opposing guild has proposed a truce. Do you accept?,กิลด์ฝ่ายตรงข้ามได้เสนอการสงบศึก คุณอนุมัติการสงบศึกหรือไม่?
UI_TOOLTIP_ATKPOWER_VALUE,Attack,พลังโจมตี
UI_RANDOM_SCROLL_TITLE,Random Option,ตัวเลือกแบบสุ่ม
UI_SUMMON_FRIEND_TITLE,Summon,เรียก
UI_SUMMON_FRIEND_MSG,Select a friend to summon,เลือกเพื่อนที่จะเรียก
UI_SUMMON_FRIEND_INPUT,Name:,ชื่อ:
UI_SUMMON_FRIEND_CONFIRM,%s wants to summon you. Accept the summon?,%s ขอเรียกคุณ คุณต้องการที่จะยอมรับ?
UI_FONT_EDIT_TITLE,Text Formatting,แก้ไขประเภทอักษร
UI_FONT_EDIT_BOLD,Bold,ตัวหนา
UI_FONT_EDIT_LINE,Underline,เส้น/แถว
UI_FONT_EDIT_COLOR,Color,สี
UI_FONT_EDIT_CANCELLINE,Strikethrough,ยกเลิก เส้น/แถว
UI_FONT_EDIT,Format Text,แก้ไขอักษร
UI_SUMMON_PARTY_TITLE,Party Summon,เรียกปาร์ตี้
UI_SUMMON_PARTY_MSG,"This item summons all party members to your current location. Cannot be used in event areas (e.g., Clockworks). Party members have one minute to accept the summon. Summon party members now?",คุณสามารถเรียกสมาชิกปาร์ตี้ ไม่สามารถใช้ในพื้นที่จัดกิจกรรมได้ (เช่น Clockworks) จะเปิดใช้งานเป็นเวลาหนึ่งนาที เรียกสมาชิกปาร์ตี้?
UI_SUMMON_PARTY_CONFIRM_TITLE,Party Summon,เรียก P. สมาชิก
UI_SUMMON_PARTY_CONFIRM_MSG,"The party leader of ""%s"" has requested to summon you. You will be teleported to the party leader's location. You have one minute to accept.",%s ปาร์ตี้ขอให้เรียกคุณ คุณจะถูกเรียกตัวไปที่หัวหน้าปาร์ตี้ คุณมีเวลาหนึ่งนาทีในการตัดสินใจ
UI_SUMMON_PARTY_CONFIRM_HOW,How to Accept the Summon,วิธีใช้
UI_SUMMON_PARTY_CONFIRM_TIP,"Double-click the ""%s"" icon in your buff list to teleport to the party leader.",หากคุณคลิกไอคอน (%s) ที่ด้านบนขวา คุณจะถูกเคลื่อนย้ายไปยังผู้นำ
UI_SUMMON_PARTY_USE,Teleport to the party leader now?,คุณควรอยู่ใกล้ๆเพื่อให้การเรียกทำงาน ตรวจสอบให้แน่ใจว่าคุณไม่ได้อยู่ในพื้นที่กิจกรรม คุณต้องการที่จะเคลื่อนย้าย?
UI_SUMMON_BUFF_ICON,Double-click to teleport to the party leader.,คุณสามารถไปที่หัวหน้าปาร์ตี้ได้เมื่อคุณดับเบิ้ลคลิ๊ก
UI_CHANGE_SEX_TITLE,Change Sex,เปลี่ยนเพศ
UI_CHANGE_SEX_FACE,Change Face,เปลี่ยนใบหน้า
UI_ITEM_TRANSY_TITLE,Item Transy,Transy สำหรับไอเท็ม
UI_ITEM_TRANSY_SEX,Change Item Sex,เปลี่ยนเพศของไอเท็ม
UI_ITEM_TRANSY_PUT,Place the item you want to transform.,กรุณาใส่ไอเท็มที่คุณต้องการเปลี่ยนแปลง
UI_ITEM_TRANSY_PUT1,Place an item in the left slot to preview the resulting item.,โปรดใส่ไอเท็มในคอลัมน์ด้านซ้าย
UI_CHANGE_NAME_TITLE,Change Name,เปลี่ยนชื่อ
UI_CHANGE_NAME_INPUT,Enter your new name:,กรอกชื่อใหม่ของคุณ
UI_CHANGE_NAME_PET_TITLE,Change Pet Name,เปลี่ยนชื่อสัตว์เลี้ยง
UI_CHANGE_NAME_PET_INPUT,"Enter a new pet name, or leave it blank to reset to the default name.",เว้นว่างไว้เพื่อรีเซ็ตเป็นชื่อเริ่มต้น
UI_CHANGE_NAME_PET_LABEL,Pet Name:,ชื่อสัตว์เลี้ยง:
UI_NAVIGATOR_MARK,Mark:,จุดหมาย:
UI_MAP_MARK_ADD,Add Mark,เพิ่มจุดหมาย
UI_MAP_MARK_DELETE,Delete,Delete
UI_MAP_MARK_DELETE_ALL,Delete All,ลบทั้งหมด
UI_MAP_MARK_PUT_CHAT,Link in Chat,ใส่มันลงไปในแชท
UI_MAP_MARK_CHANGE_NAME,Set Name,เปลี่ยนชื่อ
UI_MAP_MARK,Position,ตำแหน่ง
UI_MAP_MARK_NAME_TITLE,Set Map Mark Name,เปลี่ยนชื่อตำแหน่ง
UI_MAP_MARK_NAME_INPUT,Enter a new name for the mark:,กรุณาใส่ชื่อใหม่
UI_TOOLTIP_EQUIPPED,[ Equipped ],[พร้อม]
UI_TOOLTIP_ACTIVESELF,Also Cast on You,Also Cast on You
UI_TOOLTIP_ACTIVETARGET,Also Cast on Target,Also Cast on Target
UI_TOOLTIP_CHANGEIFHAS,If you have %s,If you have %s
UI_TOOLTIP_CHANGEIFHAS_TARGET,If the target has %s,If the target has %s
UI_TOOLTIP_GAINSTACKS,%s Stacks Gained: %d,%s Stacks Gained: %d
UI_TOOLTIP_GAINSTACKS_PVP,%s Stacks Gained: %d / %d (PvP),%s Stacks Gained: %d / %d (PvP)
UI_ITEM_LINK_TITLE,Linked Item Info.,ข้อมูลไอเท็มที่เชื่อมโยง
UI_BEAUTY_SHOP_COUPON_TITLE,Use Coupon,ใช้คูปอง
UI_BEAUTY_SHOP_COUPON_MSG,You have a Free Coupon. Use it now?,คุณมีคูปองฟรี ต้องใช้ตอนนี้หรือไม่?
UI_BEAUTY_SHOP_COUPON,Using the Free Coupon.,ใช้คูปองฟรี
UI_GUILD_MEMBER_TIP,#b%s#nb\nEXP Contribution: %s\nPenya Contribution: %s\nNumber of Times Surrendered: %d,#b%s#nb\nผลงาน: %s\nเงิน Penya สมทบ: %s\nจำนวนครั้งที่ยอมแพ้: %d
UI_REMOVE_ELEM_TITLE,Element Stone Removal,ใช้ค่าความสามารถ
UI_REMOVE_ELEM_MSG,"This item has an element stone applied to it. If you unequip it, the element stone effect will be removed. Are you sure you want to unequip it?",คุณจะสามารถซื้อขายและถอดของออกได้ต่อเมื่อถอดธาตุโจมตีและป้องกันออกแล้ว ต้องการถอดออกหรือไม่ ?
UI_HOME_LOGIN_ENTER_TIP,Enter Account ID,กรอก ID บัญชี
UI_HOME_PASSWORD_TIP,Enter Password,กรอกรหัสผ่าน
UI_CHAT_NORMAL_TIP,Send normal messages to players around you,ส่งข้อความปกติ
UI_CHAT_WHISPER_TIP,Send whispers to another player,ส่งข้อความกระซิบ
UI_CHAT_SHOUT_TIP,Send shout messages to players in your area,ส่งข้อความตะโกน
UI_CHAT_PARTY_TIP,Send messages to your party members,ส่งข้อความถึงสมาชิกปาร์ตี้
UI_CHAT_GUILD_TIP,Send messages to your guild members,ส่องข้อความถึงสมาชิกกิลด์
UI_CHAT_SYSTEM_TIP,Show/Hide System Messages,เปิดระบบหน้าต่างข้อความ
UI_CHAT_FILTER_TIP,Filter function which allows you to filter the chatting.,ฟังก์ชั่นตัวกรองที่ให้คุณกรองการสนทนา
UI_MESSENGER_MEMO_TIP,Check messages received while offline.,สามารถตรวจสอบข้อความที่ได้รับเมื่อคุณถูกตัดการเชื่อมต่อ
UI_GUILD_WAR_DECLARE_TIP,Request a guild duel,คำขอท้าดวลกิลด์
UI_GUILD_WAR_PEACE_TIP,Propose a truce to end the guild duel in a draw,เสนอการสงบศึกต่อความรุนแรงและการต่อสู้ที่ไร้สติ
UI_GUILDBANK_SUPPORT_TIP,Donate Penya and quest items to your guild,สนับสนุนให้กับกิลด์ของคุณ
UI_GUILDBANK_CLOAK_TIP,Create a guild cloak with your guild logo on it (requires guild level 4),สร้างผ้าคลุมกิลด์ พร้อมโลโก้ที่คุณเลือก (กิลด์ระดับ 4)
UI_GUILDBANK_LOG_TIP,Open the guild bank log,เปิดหน้าต่างLogคลังกิลด์
UI_APP_DEBUG_TIP,Debug Window,หน้าต่าง Debug
UI_APP_INFO_PANG_TIP,Summon Info-Pang.,เรียก Info-Pang
UI_APP_FAQ_TIP,View Frequently Asked Questions.,คำถามที่พบบ่อย
UI_APP_TIPS_TIP,View gameplay tips.,View gameplay tips.
UI_APP_HELP_TIP,Open the help window.,ช่วยเหลือ
UI_APP_GUILD_TIP,View and manage your guild.,จัดการ Guild
UI_APP_PARTY_TIP,View and manage your party.,จัดการ Party
UI_APP_COUPLE_TIP,View and manage your couple.,View and manage your couple.
UI_APP_MESSENGER_TIP,View and manage your friends list.,จัดรายชื่อเพื่อนได้
UI_APP_ITEMDURATION_TIP,View the remaining duration of your active premium items.,แสดงระยะเวลาของไอเทมที่เหลือ
UI_APP_CASHSHOP_TIP,Open the Flyff Shop to purchase premium items.,เปิด Flyff Shop
UI_APP_QUEST_TIP,View the quest diary.,Quest
UI_APP_PRIVATESHOP_TIP,Set up a private shop.,เปิดร้านค้าส่วนตัว
UI_APP_SKILL_TIP,View and manage your character's skills.,แสดงหน้าต่าง Skill
UI_APP_INVENTORY_TIP,View and manage your inventory.,เปิดช่องเก็บของ
UI_APP_CHARINFO_TIP,View detailed character information and manage your stats.,แสดงข้อมูลตัวละคร
UI_APP_MOTION_TIP,View emotes and emoticons you can use to express yourself.,แสดงท่าทางและความรู้สึกได้
UI_APP_STATUS_TIP,View your character's status.,สถานะตัวละคร
UI_APP_CHAT_TIP,Show/hide the chat window.,เปิดหน้าต่างพูดคุย
UI_APP_QUIT_TIP,Exit the game.,ออกโปรแกรม
UI_APP_SUPPORT_TIP,Open the customer support page in a new tab.,เปิดบริการช่วยเหลือ
UI_APP_PRIVACY_TIP,Open Privacy Settings.,Open Privacy Settings.
UI_APP_LOGOUT_TIP,Log out and return to the login screen.,ออกจากระบบ
UI_APP_OPTION_TIP,Open the game's options window.,ตัวเลือก
UI_APP_MAP_TIP,View the world map.,แผนที่โลก
UI_APP_NAVIGATOR_TIP,Open the mini-map widget.,แผนที่ขนาดเล็กช่วยบอกทิศทาง
UI_APP_NOTICE_TIP,Notice,ประกาศ
UI_OPTION_OLD_KEYBOARD_MODE,Basic Keyboard Mode,โหมดคีย์บอร์ดพื้นฐาน
UI_GUILDCOMBAT_OFFER_TITLE,Apply for Guild Siege,ใช้สำหรับGuild Siege
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION,Total Bid Amount,ค่าสมัครทั้งหมด
UI_GUILDCOMBAT_OFFER_TOTALAPPLICATION_TIP,Total bid amount from all guilds that applied. The winning guild receives 35% of the total bids from the top 10 guilds.,จากค่าธรรมเนียมการสมัครทั้งหมดที่จ่ายโดย 10 กิลด์ที่จ่ายสูงสุด และนำเอา 35% จ่ายเป็นรางวัลให้กับกิลด์ที่ชนะ
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION,Your Current Bid,ค่าสมัครปัจจุบัน
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION_TIP,Enter your bid amount here,เลือกช่องว่างและกรอกค่าธรรมเนียมการสมัคร
UI_GUILDCOMBAT_OFFER_PRIZEDETAIL,Reward Details,Reward Details
UI_GUILDCOMBAT_OFFER_PRESENT,1 Win: Dragon Cloak of the Initiate\n2 Consecutive Wins: Dragon Cloak of the Adept\n3 Consecutive Wins: Dragon Cloak of the Master\n4 Consecutive Wins: Dragon Cloak of the Hero,1 ชนะ: Dragon Cloak of the Initiate\n2 ชนะ Straight: Dragon Cloak of the Adept\n3 ชนะ Straight: Dragon Cloak of the Master\n4 ชนะ Straight: Dragon Cloak of the Hero
UI_GUILDCOMBAT_OFFER_CONFIRM,Current bid: %d Penya. You are about to add %d Penya. Proceed?,คุณได้ชำระเงิน %d penya คุณต้องการจ่ายเพิ่ม %d penya หรือไม่?
UI_GUILDCOMBAT_OFFER_ACCEPT_TIP,Submit your Guild Siege application,ใช้สำหรับ Guild Siege
UI_GUILDCOMBAT_OFFER_PRESENT_TIP,"For more information on Guild Siege rewards, please speak with [Guild Siege Manager] Donaris.",สำหรับรายละเอียดรางวัล โปรดสอบถามGuild Manager Donaris
UI_GUILDCOMBAT_STATE_TITLE,Guild Siege Application Status,แสดงข้อกำหนดการสมัคร Guild Siege
UI_GUILDCOMBAT_STATE_TIMELEFT,Time Left,เวลาที่เหลือ
UI_GUILDCOMBAT_STATE_TIMELEFT_TIP,Time until the next Guild Siege,เหลือเวลาอีกจนถึงGuild Siegeครั้งต่อไป
UI_GUILDCOMBAT_STATE_TOTALBID,Total Bid Amount:,Bidทั้งหมด:
UI_GUILDCOMBAT_STATE_TOTALBID_TIP,35% of the combined bids from the top 10 guilds is awarded to the winning guild.,จากการเสนอราคารวมโดย 10 กิลด์ที่จ่ายสูงสุด และนำเอา 35% จ่ายเป็นรางวัลให้กับกิลด์ที่ชนะ
UI_GUILDCOMBAT_STATE_BIDRANKING,Your Guild's Bid Rank,อันดับBid
UI_GUILDCOMBAT_STATE_BIDRANKING_TIP,"Only the top 10 guilds can join the Guild Siege. If your guild isn't in the top 10, you can't participate.",Guild ของคุณไม่สามารถเข้าร่วม Guild Siege ได้ หาก Guild Bid ของคุณอยู่ต่ำกว่าอันดับ 10 กรุณาลองอีกครั้ง.
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Your Guild's Current Bid,Bidขั้นต่ำในปัจจุบัน
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,The amount your guild has currently bid to participate in the Guild Siege.,Guild Bid ปัจจุบัน:
UI_GUILDCOMBAT_STATE_APPLY,Apply,Apply
UI_GUILDCOMBAT_STATE_APPLY_TIP,Open the Guild Siege application window,แสดงเมนูสมัคร Guild Siege
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Refresh
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Refresh the current application status,ตรวจสอบข้อกำหนดการสมัคร Guild Siege ในปัจจุบัน
UI_GUILDCOMBAT_STATE_LIST_TIP,Shows all applicants and their bid ranks,กิลด์ทั้ง 10 ที่ bid penya สูงสุดสามารถเข้าร่วม Guild Siege ได้
UI_GUILDCOMBAT_CANCEL_TITLE,Cancel Guild Siege Application,Guild Siege - ยกเลิกการสมัคร
UI_GUILDCOMBAT_CANCEL_MSG,Withdraw your application for the Guild Siege?,คุณต้องการถอนตัวจาก Guild Siege หรือไม่?
UI_GUILDCOMBAT_SELECT_TITLE,Guild Siege Lineup,ตั้งค่ารายการเข้าสำหรับ Guild Siege
UI_GUILDCOMBAT_SELECT_CONNECTED,Online Guild Members,สมาชิกกิลด์ที่เชื่อมต่อ
UI_GUILDCOMBAT_SELECT_ENTRANT,Lineup,รายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add the selected member to the lineup,เพิ่มสมาชิกกิลด์ที่เชื่อมต่อไปยังรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Remove the selected member from the lineup,ลบสมาชิกกิลด์ออกจากรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_UP_TIP,Move the selected member up in the lineup,จัดเรียงสมาชิกกิลด์ที่เลือกไว้ด้านบน
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Move the selected member down in the lineup,จัดเรียงสมาชิกกิลด์ที่เลือกไว้ด้านบน
UI_GUILDCOMBAT_SELECT_COMPLETE,Confirm,เสร็จสิ้น
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Save and confirm the lineup,กรอกรายการเข้าเสร็จสิ้น
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Defender
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Designate the selected member as Defender,เลือก defender
UI_GUILDCOMBAT_SELECT_REMAKE,Reset,Reset
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Reset the lineup,สร้างรายการใหม่
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents gain 1 bonus point when your guild's Defender is killed.,ฝ่ายตรงข้ามจะได้รับคะแนนโบนัสเมื่อ Guild Defender ของคุณถูกฆ่า
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting team: %d members (Max participants: %d),ลงทะเบียนทีมของคุณ สมาชิกเริ่มต้น %d ราย (สูงสุด %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,Set your lineup here. The first 6 members in the lineup will enter the Guild Siege combat area first.,สมาชิกที่เลือก 5 คนจะเข้าร่วม Guild Siege ก่อน กรุณาทำรายชื่อผู้เข้าร่วม
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Reset your lineup and start over?,ต้องการจัด line up สำหรับ guild siegeอีกครั้งหรือไม่?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Entry,แนะนำ Guild Siege
UI_GUILDCOMBAT_TELE_MSG,Guild Siege entry is now open. Teleport to the entry NPC?,ทางเข้าเริ่มแล้ว คุณต้องการเทเลพอร์ตไปยังสนามประลอง Guild Siegeหรือไม่?
UI_GUILDCOMBAT_JOIN_TITLE,Enter Guild Siege Arena,เข้า Guild Wars Arena
UI_GUILDCOMBAT_JOIN_MSG,Enter the Guild Siege Arena now?,คุณเข้าร่วม Guild Siege หรือไม่?
UI_NETWORK_ERROR_TITLE,Network Error,อินเตอร์เน็ตมีปัญหา ขาดการเชื่อมต่อกับเซิร์ฟเวอร์
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.",อินเตอร์เน็ตมีปัญหา โปรดตรวจสอบการเชื่อมต่อและเข้าสู่ระบบอีกครั้ง
UI_GUILDCOMBAT_JOINWAR_TITLE,Select Entry Zone,สถานที่ฟื้นคืนชีพ
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered zone 1.,คุณได้เข้าสู่พื้นที่เขตที่ 1 แล้ว
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered zone 2.,คุณได้เข้าสู่พื้นที่เขตที่ 2 แล้ว
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered zone 3.,คุณได้เข้าสู่พื้นที่เขตที่ 3 แล้ว
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered zone 4.,คุณได้เข้าสู่พื้นที่เขตที่ 4 แล้ว
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered zone 5.,You have entered zone 5.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered zone 6.,You have entered zone 6.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered zone 7.,You have entered zone 7.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered zone 8.,You have entered zone 8.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,เลือกพื้นที่ที่คุณต้องการเข้า
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.",ใส่ %d หลัง %s วินาที
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,สุ่ม
UI_CHAT_ADMIN,[Admin] %s,[Admin] %s
UI_GUILDCOMBAT_RATE,Guild Rankings,อันดับปัจจุบัน:
UI_GUILDCOMBAT_PERSON_RATE,Player Rankings,การจัดอันดับบุคคล:
UI_TOOLTIP_EXPBOX,#b%s's EXP box#nb\nTime left: %s,กล่อง exp ของ #b%s#nb\nเวลาที่เหลือ: %s
UI_GUILDCOMBAT_JOIN_READY,You will enter the combat area when one of your guildmates is defeated.,จะเข้าได้เมื่อเพื่อนร่วมกิลด์ของคุณเสียชีวิต
UI_GUILDCOMBAT_JOIN_READY2,Prepare yourself!,เตรียมพร้อม!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] defeated [%s]%s [%s] and gained %d points.,[%s]%s [%s] สังหาร [%s]%s [%s] และได้รับ %d points
