Key,English,Vietnamese
PROPMOVER_TXT_000884,Iblis Destroyer,Iblis Destroyer
PROPMOVER_TXT_000886,Iblis Puppet,Iblis Puppet
PROPMOVER_TXT_000888,Iblis Thief,Iblis Thief
PROPMOVER_TXT_000890,Iblis Guardian,Iblis Guardian
PROPMOVER_TXT_000892,Iblis Quaker,Iblis Quaker
PROPMOVER_TXT_000894,Iblis Mushellizer,Iblis Mushellizer
PROPMOVER_TXT_000896,Iblis Leanes,Iblis Leanes
PROPMOVER_TXT_000898,Iblis Red Otem,Iblis Red Otem
PROPMOVER_TXT_000900,Iblis Black Otem,Iblis Black Otem
PROPMOVER_TXT_000902,Iblis Boxter,Iblis Boxter
PROPMOVER_TXT_000904,Iblis Dandysher,Iblis Dandysher
PROPMOVER_TXT_000906,Chitos,Chitos
PROPMOVER_TXT_000908,Clocks,Clocks
PROPMOVER_TXT_000910,Soldier Chimeradon,Soldier Chimeradon
PROPMOVER_TXT_000912,Brigadier Chimeradon,Brigadier Chimeradon
PROPMOVER_TXT_000914,Major Chimeradon,Major Chimeradon
PROPMOVER_TXT_000916,Lieutenant Chimeradon,Lieutenant Chimeradon
PROPMOVER_TXT_000918,General Chimeradon,General Chimeradon
PROPMOVER_TXT_000920,Private Bearnerky,Private Bearnerky
PROPMOVER_TXT_000922,Specialist Bearnerky,Specialist Bearnerky
PROPMOVER_TXT_000924,Sergeant Bearnerky,Sergeant Bearnerky
PROPMOVER_TXT_000926,Captain Bearnerky,Captain Bearnerky
PROPMOVER_TXT_000928,General Bearnerky,General Bearnerky
PROPMOVER_TXT_000930,Great Chef Muffrin,Great Chef Muffrin
PROPMOVER_TXT_000932,Queen Popcrank,Queen Popcrank
PROPMOVER_TXT_000934,Baby Polar Bear,Gấu bắc cực con
PROPMOVER_TXT_000936,Polar Bear,Gấu bắc cực
PROPMOVER_TXT_000946,Mailbox,Mailbox
PROPMOVER_TXT_000950,Blue Meteonyker,Blue Meteonyker
PROPMOVER_TXT_000954,Baby Penguin,Chim cánh cụt con
PROPMOVER_TXT_000956,Baby Iguana,Kỳ nhông con
PROPMOVER_TXT_000958,Baby Cobra,Rắn hổ mang con
PROPMOVER_TXT_000960,Egg,Trứng
PROPMOVER_TXT_000962,White Tiger,Hổ trắng
PROPMOVER_TXT_000966,Babari Lion,Babari Lion
PROPMOVER_TXT_000970,Rabbit,Thỏ
PROPMOVER_TXT_000974,Dragon,Rồng
PROPMOVER_TXT_000978,Unicorn,Kỳ lân
PROPMOVER_TXT_000982,Old Fox,Old Fox
PROPMOVER_TXT_000986,Griffin,Griffin
PROPMOVER_TXT_000987,Angel,Angel
PROPMOVER_TXT_000988,King Crab,King Crab
PROPMOVER_TXT_000996,Gambler,Con bạc
PROPMOVER_TXT_000998,Hair Designer,Nhà thiết kế tóc
PROPMOVER_TXT_001000,Make-Up Artist,Chuyên viên trang điểm
PROPMOVER_TXT_001002,Pet Tamer,Người thuần thú
PROPMOVER_TXT_001010,Behemoth,Behemoth
PROPMOVER_TXT_001012,Hellion,Hellion
PROPMOVER_TXT_001014,Jackalope,Jackalope
PROPMOVER_TXT_001016,Bahamut,Bahamut
PROPMOVER_TXT_001018,Nightmare,Nightmare
PROPMOVER_TXT_001020,Reinecke,Reinecke
PROPMOVER_TXT_001022,Hippogryph,Hippogryph
PROPMOVER_TXT_001024,Cute Frog,Con ếch dễ thương
PROPMOVER_TXT_001026,Cute Hamburger,Bánh mì kẹp thịt dễ thương
PROPMOVER_TXT_001028,Baby Turtle,Rùa con
PROPMOVER_TXT_001034,Baby Chicken,Gà con
PROPMOVER_TXT_001036,Baby Cow,Bò con
PROPMOVER_TXT_001038,Baby Beagle,Chó ăn con
PROPMOVER_TXT_001040,Baby Blue Dragon,Rông xanh con
PROPMOVER_TXT_001042,Baby Hamster,Hamster con
PROPMOVER_TXT_001044,Baby Horse,Ngựa con
PROPMOVER_TXT_001046,Baby Monkey,Khỉ con
PROPMOVER_TXT_001048,Baby Pig,Heo con
PROPMOVER_TXT_001050,Baby Rabbit,Thỏ con
PROPMOVER_TXT_001052,Cute Lamb,Chú cừu dễ thương
PROPMOVER_TXT_001054,Baby Tiger,Hổ con
PROPMOVER_TXT_001076,Small Maid Cardpuppet,Cô hầu gái nhỏ Cardpuppet
PROPMOVER_TXT_001078,Small Mia,Mia nhỏ
PROPMOVER_TXT_001080,Baby Black Dragon,Rồng đen con
PROPMOVER_TXT_001196,Baby Yetti,Yetti con
PROPMOVER_TXT_001300,[Guildwar Manager] Frankie,[Quản lý Bang hội] Frankie
PROPMOVER_TXT_001302,[Guildwar Manager] Donaris,[Quản lý Bang hội] Donaris
PROPMOVER_TXT_001304,[1vs1Guildwar Manager] Amos,[Quản lý Bang hội 1vs1] Amos
PROPMOVER_TXT_001306,[1vs1Guildwar Manager] Annie,[Quản lý bang hội1vs1] Annie
PROPMOVER_TXT_001308,[Arena Manager] Lay,[Quản lý đấu trường] Lay
PROPMOVER_TXT_001310,Mayor,Chuyên nghành
PROPMOVER_TXT_001318,English Bulldog,Bulldog Anh
PROPMOVER_TXT_001320,Naughty Ghost,Con ma tinh nghịch
PROPMOVER_TXT_001322,Baby Fu Lion,Sư tử con Fu
PROPMOVER_TXT_001324,Smart Owl,Con cú thông minh
PROPMOVER_TXT_001326,Patches,Bản vá lỗi
PROPMOVER_TXT_001328,Cute Robot,Người máy dễ thương
PROPMOVER_TXT_001330,Baby Bang,Bang con
PROPMOVER_TXT_001332,Baby Panda,Gấu trúc con
PROPMOVER_TXT_001334,Red Armored Tigar,Armored Tigar đỏ
PROPMOVER_TXT_001336,Blue Armored Tigar,Armored Tigar xanh
PROPMOVER_TXT_001338,Yellow Armored Tigar,Armored Tigar vàng
PROPMOVER_TXT_001446,Tommy Toucan,Tommy Toucan
PROPMOVER_TXT_001452,Johnny Four-Wheels,Johnny Four-Wheels
PROPMOVER_TXT_001460,Tiny Tanuki,Tiny Tanuki
PROPMOVER_TXT_001466,Inisis,Inisis
PROPMOVER_TXT_001496,Mini Santa,Mini Santa
PROPMOVER_TXT_001498,Mini Snowman,Mini Snowman
PROPMOVER_TXT_001504,Little Lykan,Little Lykan
PROPMOVER_TXT_001554,Joey,Joey
PROPMOVER_TXT_001556,Spike,Mũi nhọn
PROPMOVER_TXT_001558,Lumia,Lumia
PROPMOVER_TXT_001560,Inspector Koko,Thanh tra Koko
PROPMOVER_TXT_001564,Cheshire Cat,Mèo Cheshire
PROPMOVER_TXT_001566,The White Rabbit,Chú thỏ trắng
PROPMOVER_TXT_001568,Tiger Cub,Hổ con
PROPMOVER_TXT_001586,Bone Golem,Bone Golem
PROPMOVER_TXT_001588,Mocomochi,Mocomochi
PROPMOVER_TXT_001590,Soul Dancer,Soul Dancer
PROPMOVER_TXT_001592,Clockworks Butler,Clockworks Butler
PROPMOVER_TXT_001628,[Village Chief] Huntrang,[Trưởng làng] Huntrang
PROPMOVER_TXT_001630,[Quest Office] Miorang,[Văn phòng nhiệm vụ] Miorang
PROPMOVER_TXT_001654,[Crackshooter Master] Meiarun,[Crackshooter Master] Meiarun
PROPMOVER_TXT_001656,[Arcanist Master] Howrang,[Arcanist Master] Howrang
PROPMOVER_TXT_001680,Cheirang,Cheirang
PROPMOVER_TXT_001714,[Rock Scissor Paper NPC] Demian,[Rock Scissor Paper NPC] Demian
PROPMOVER_TXT_001716,Chameleon,Chameleon
PROPMOVER_TXT_001804,Braaaaains,Braaaaains
PROPMOVER_TXT_001814,Male Zombie,Xác sống nam
PROPMOVER_TXT_001816,Female Zombie ,Xác sống nữ
PROPMOVER_TXT_001826,Big Red,Màu đỏ lớn
PROPMOVER_TXT_002000,Buur,Buur
PROPMOVER_TXT_002002,Saphyryan,Saphyryan
PROPMOVER_TXT_002004,Gray Earl,Gray Earl
PROPMOVER_TXT_002006,Jack Frost,Jack Frost
PROPMOVER_TXT_002008,Mr. Grinchie,Mr. Grinchie
PROPMOVER_TXT_002010,Rudolph,Rudolph
PROPMOVER_TXT_002020,[Development Supervisor] Kim,[Giám sát phát triển] Kim
PROPMOVER_TXT_002026,Kuma,Kuma
PROPMOVER_TXT_002034,Usagi,Usagi
PROPMOVER_TXT_002036,Cooperative Donation NPC,Cooperative Donation NPC
PROPMOVER_TXT_002038,X900 EvilTron,X900 EvilTron
PROPMOVER_TXT_002040,Mister Grizz,Mister Grizz
PROPMOVER_TXT_002162,Lil' Potato,Lil' Potato
PROPMOVER_TXT_002166,Friendly Baby Kargo,Kargo con thân thiện
PROPMOVER_TXT_002170,Charming Babushka Doll,Búp bê Babushka quyến rũ
PROPMOVER_TXT_002232,Cute Baby Cat,Mèo con dễ thương
PROPMOVER_TXT_002234,Little Muran,Muran bé nhỏ
PROPMOVER_TXT_002236,Baby Buur,Buur con
PROPMOVER_TXT_002238,Baby Ripper,Ripper con
PROPMOVER_TXT_002240,Baby Gray Earl,Gray Earl con
PROPMOVER_TXT_002242,Tamed Bolo,Bolo được thuần hóa
PROPMOVER_TXT_002282,Pink Mocomochi Pet,Thú cưng Mocomochi màu hồng
PROPMOVER_TXT_002284,Rainbow Mocomochi Pet,Thú cưng Rainbow Mocomochi
PROPMOVER_TXT_002286,Black Bulldog Pet,Thú cưng Bulldog đen
PROPMOVER_TXT_002288,Red Dragon Pet,Thú cưng Rồng đỏ
PROPMOVER_TXT_002292,Blue Snowman Pet,Thú cưng Snowman xanh
PROPMOVER_TXT_002142,Reonan,Reonan
PROPMOVER_TXT_002144,Nerco,Nerco
PROPMOVER_TXT_002146,Hael,Hael
PROPMOVER_TXT_002148,Handel,Handel
PROPMOVER_TXT_002150,Reodos,Reodos
PROPMOVER_TXT_002152,Zoro,Zoro
PROPMOVER_TXT_002154,Elaine,Elaine
PROPMOVER_TXT_002156,Ainher,Ainher
PROPMOVER_TXT_002158,Sury,Sury
PROPMOVER_TXT_002230,Earl Vermelho,Earl Vermelho
PROPMOVER_TXT_100000,Small Gorruda,Gorruda nhỏ
PROPMOVER_TXT_100001,Gorruda,Gorruda
PROPMOVER_TXT_100002,Captain Gorruda,Thuyền trưởng Gorruda
PROPMOVER_TXT_100003,Giant Gorruda,Gorruda khổng lồ
PROPMOVER_TXT_100004,Young Fafnir,Fafnir trẻ
PROPMOVER_TXT_100005,Fafnir,Fafnir
PROPMOVER_TXT_100006,Grownup Fafnir,Fafnir trưởng thành
PROPMOVER_TXT_100007,Giant Fafnir,Fafnir khổng lồ
PROPMOVER_TXT_100008,Small Longwing,Longwing nhỏ
PROPMOVER_TXT_100009,Longwing,Longwing
PROPMOVER_TXT_100010,Captain Longwing,Thuyền trưởng Longwing
PROPMOVER_TXT_100011,Giant Longwing,Longwing khổng lồ
PROPMOVER_TXT_100012,Neparuba,Neparuba
PROPMOVER_TXT_100013,Captain Neparuba,Thuyền trưởng Neparuba
PROPMOVER_TXT_100014,Boss Neparuba,Ông chủ Neparuba
PROPMOVER_TXT_100015,Giant Neparuba,Neparuba khổng lồ
PROPMOVER_TXT_100016,Small Zenma,Zenma nhỏ
PROPMOVER_TXT_100017,Zenma,Zenma
PROPMOVER_TXT_100018,Captain Zenma,Thuyền trưởng Zenma
PROPMOVER_TXT_100019,Giant Zenma,Zenma khổng lồ
PROPMOVER_TXT_100020,Small Zendros,Zendros nhỏ
PROPMOVER_TXT_100021,Zendros,Zendros
PROPMOVER_TXT_100022,Captain Zendros,Thuyền trưởng Zendros
PROPMOVER_TXT_100023,Giant Zendros,Zendros khổng lồ
PROPMOVER_TXT_100024,Small Medumet,Medumet nhỏ
PROPMOVER_TXT_100025,Medumet,Medumet
PROPMOVER_TXT_100026,Captain Medumet,Thuyền trưởng Medumet
PROPMOVER_TXT_100027,Giant Medumet,Medumet khổng lồ
PROPMOVER_TXT_100028,Training Dummy,Huấn luyện giả
PROPMOVER_TXT_100029,Fire Training Dummy,Huấn luyện giả hệ Hỏa
PROPMOVER_TXT_100030,Water Training Dummy,Huấn luyện giả hệ Thủy
PROPMOVER_TXT_100031,Earth Training Dummy,Huấn luyện giả hệ Thổ
PROPMOVER_TXT_100032,Electric Training Dummy,Huấn luyện giả hệ Lôi
PROPMOVER_TXT_100033,Wind Training Dummy,Huấn luyện giả hệ Phong
PROPMOVER_TXT_100097,Violet Medumet,Violet Medumet
PROPMOVER_TXT_100063,Violet Leyena,Violet Leyena
PROPMOVER_TXT_100064,Violet Trangfoma,Violet Trangfoma
PROPMOVER_TXT_100065,Violet Steam Walker,Violet Steam Walker
PROPMOVER_TXT_100068,Violet Steel Knight,Violet Steel Knight
PROPMOVER_TXT_100069,Violet Nutty Wheel,Violet Nutty Wheel
PROPMOVER_TXT_100066,Violet Driller,Violet Driller
PROPMOVER_TXT_100067,Violet Volt,Violet Volt
PROPMOVER_TXT_100070,Violet Elderguard,Violet Elderguard
PROPMOVER_TXT_100071,Violet Garbagespider,Violet Garbagespider
PROPMOVER_TXT_100072,Violet Crane Machinery,Violet Crane Machinery
PROPMOVER_TXT_100074,Violet Greemong,Violet Greemong
PROPMOVER_TXT_100076,Violet Nuctuvehicle,Violet Nuctuvehicle
PROPMOVER_TXT_100075,Violet Carrierbomb,Violet Carrierbomb
PROPMOVER_TXT_100073,Violet Syliaca,Violet Syliaca
PROPMOVER_TXT_100078,Violet Zombiger,Violet Zombiger
PROPMOVER_TXT_100077,Violet Risem,Violet Risem
PROPMOVER_TXT_100086,Violet Grrr,Violet Grrr
PROPMOVER_TXT_100091,Violet Dump,Violet Dump
PROPMOVER_TXT_100085,Violet Nautrepy,Violet Nautrepy
PROPMOVER_TXT_100082,Violet Boo,Violet Boo
PROPMOVER_TXT_100079,Violet Hoppre,Violet Hoppre
PROPMOVER_TXT_100088,Violet Mushpoie,Violet Mushpoie
PROPMOVER_TXT_100081,Violet Iren,Violet Iren
PROPMOVER_TXT_100080,Violet Watangka,Violet Watangka
PROPMOVER_TXT_100087,Violet Antiquery,Violet Antiquery
PROPMOVER_TXT_100083,Violet Luia,Violet Luia
PROPMOVER_TXT_100089,Violet Gongury,Violet Gongury
PROPMOVER_TXT_100084,Violet Shuhamma,Violet Shuhamma
PROPMOVER_TXT_100092,Violet Kern,Violet Kern
PROPMOVER_TXT_100090,Violet Glaphan,Violet Glaphan
PROPMOVER_TXT_100094,Violet Chimeradon,Violet Chimeradon
PROPMOVER_TXT_100095,Violet Bearnerky,Violet Bearnerky
PROPMOVER_TXT_100093,Violet Chef Muffrin,Violet Chef Muffrin
PROPMOVER_TXT_100096,Violet Popcrank,Violet Popcrank
PROPMOVER_TXT_100034,Violet Aibatt,Violet Aibatt
PROPMOVER_TXT_100035,Violet Mushpang,Violet Mushpang
PROPMOVER_TXT_100036,Violet Burudeng,Violet Burudeng
PROPMOVER_TXT_100038,Violet Pukepuke,Violet Pukepuke
PROPMOVER_TXT_100037,Violet Peakyturtle,Violet Peakyturtle
PROPMOVER_TXT_100039,Violet Demian,Violet Demian
PROPMOVER_TXT_100040,Violet Doridoma,Violet Doridoma
PROPMOVER_TXT_100041,Violet Lawolf,Violet Lawolf
PROPMOVER_TXT_100043,Violet Fefern,Violet Fefern
PROPMOVER_TXT_100042,Violet Nyangnyang,Violet Nyangnyang
PROPMOVER_TXT_100044,Violet Bang,Violet Bang
PROPMOVER_TXT_100099,Violet Mothbee,Violet Mothbee
PROPMOVER_TXT_100098,Violet Flybrigen,Violet Flybrigen
PROPMOVER_TXT_100100,Violet Rockepeller,Violet Rockepeller
PROPMOVER_TXT_100106,Violet Zendros,Violet Zendros
PROPMOVER_TXT_100104,Violet Neparuba,Violet Neparuba
PROPMOVER_TXT_100105,Violet Zenma,Violet Zenma
PROPMOVER_TXT_100103,Violet Longwing,Violet Longwing
PROPMOVER_TXT_100102,Violet Fafnir,Violet Fafnir
PROPMOVER_TXT_100101,Violet Gorruda,Violet Gorruda
PROPMOVER_TXT_100058,Violet Tombstone Bearer,Violet Tombstone Bearer
PROPMOVER_TXT_100060,Violet Scorpicon,Violet Scorpicon
PROPMOVER_TXT_100059,Violet Basque,Violet Basque
PROPMOVER_TXT_100061,Violet Prankster,Violet Prankster
PROPMOVER_TXT_100062,Violet Wheelem,Violet Wheelem
PROPMOVER_TXT_100045,Violet Wagsaac,Violet Wagsaac
PROPMOVER_TXT_100047,Violet Mia,Violet Mia
PROPMOVER_TXT_100048,Violet Mr. Pumpkin,Violet Mr. Pumpkin
PROPMOVER_TXT_100049,Violet Red Mantis,Violet Red Mantis
PROPMOVER_TXT_100050,Violet Jack the Hammer,Violet Jack the Hammer
PROPMOVER_TXT_100051,Violet Giggle Box,Violet Giggle Box
PROPMOVER_TXT_100052,Violet Rock Muscle,Violet Rock Muscle
PROPMOVER_TXT_100053,Violet Hobo,Violet Hobo
PROPMOVER_TXT_100055,Violet Dumb Bull,Violet Dumb Bull
PROPMOVER_TXT_100056,Violet Totemia,Violet Totemia
PROPMOVER_TXT_100057,Violet Cardpuppet,Violet Cardpuppet
PROPMOVER_TXT_100046,Violet Flybat,Violet Flybat
PROPMOVER_TXT_100054,Violet Bucrow,Violet Bucrow
PROPMOVER_TXT_100107,Baby Pink Cobra,Pink Conbra con
PROPMOVER_TXT_100108,Baby Giant Aibatt,Giant Aibatt con
PROPMOVER_TXT_100109,Baby Glaphan,Glaphan con
PROPMOVER_TXT_100110,Baby Longwing,Longwing con
PROPMOVER_TXT_100111,Baby Saphyryan,Saphyryan con
PROPMOVER_TXT_100112,Baby Mushpang,Mushpang con
PROPMOVER_TXT_100113,Baby Wagsaac,Wagsaac con
PROPMOVER_TXT_100114,Baby Steel Knight,Steel Knight con
PROPMOVER_TXT_100115,Baby Nautrepy,Nautrepy con
PROPMOVER_TXT_100116,Small Meteonyker,Meteonyker nhỏ
PROPMOVER_TXT_100117,Berserk Meteonyker,Berserk Meteonyker
PROPMOVER_TXT_100118,Cyclops X,Cyclops X
PROPMOVER_TXT_100119,Giant Cyclops X,Cyclops X khổng lồ
PROPMOVER_TXT_100120,Katamaw,Katamaw
PROPMOVER_TXT_100121,Zefus,Zefus
PROPMOVER_TXT_100122,Gruntizer,Gruntizer
PROPMOVER_TXT_100123,Obnis,Obnis
PROPMOVER_TXT_100124,Airon,Airon
PROPMOVER_TXT_100125,Kumah,Kumah
PROPMOVER_TXT_100126,Haom,Haom
PROPMOVER_TXT_100127,Scorched Meteonyker,Scorched Meteonyker
PROPMOVER_TXT_100128,Red Meteonyker,Red Meteonyker
PROPMOVER_TXT_100129,Baby Zendros,Zendros con
PROPMOVER_TXT_100130,Baby Dumb Bull,Dumb Bull con
PROPMOVER_TXT_100131,Baby Bearnerky,Bearnerky con
PROPMOVER_TXT_100132,Yetti,Yetti
PROPMOVER_TXT_100133,Mutant Yetti,Mutant Yetti
PROPMOVER_TXT_100134,Dark Yetti,Dark Yetti
PROPMOVER_TXT_100135,Mad Yetti,Mad Yetti
PROPMOVER_TXT_100136,Violet Yetti,Violet Yetti
PROPMOVER_TXT_100137,Augu,Augu
PROPMOVER_TXT_100138,Mutant Augu,Mutant Augu
PROPMOVER_TXT_100139,Ardent Augu,Ardent Augu
PROPMOVER_TXT_100140,Glacial Augu,Glacial Augu
PROPMOVER_TXT_100141,Violet Augu,Violet Augu
PROPMOVER_TXT_100142,Ghost of the Forgotten Prince,Ghost of the Forgotten Prince
PROPMOVER_TXT_100143,Ghost of the Forgotten King,Ghost of the Forgotten King
PROPMOVER_TXT_100144,Ghost of the Forgotten Emperor,Ghost of the Forgotten Emperor
PROPMOVER_TXT_100145,Ghost of the Forgotten Overlord,Ghost of the Forgotten Overlord
PROPMOVER_TXT_100146,Violet Ghost of the Forgotten Monarch,Violet Ghost of the Forgotten Monarch
PROPMOVER_TXT_100147,Mammoth,Mammoth
PROPMOVER_TXT_100148,Cannibal Mammoth,Cannibal Mammoth
PROPMOVER_TXT_100149,Ancient Mammoth,Ancient Mammoth
PROPMOVER_TXT_100150,Predator Mammoth,Predator Mammoth
PROPMOVER_TXT_100151,Violet Mammoth,Violet Mammoth
PROPMOVER_TXT_100152,Gigaka,Gigaka
PROPMOVER_TXT_100153,Mawrang,Mawrang
PROPMOVER_TXT_100154,Miriun,Miriun
PROPMOVER_TXT_100155,Auxilior,Auxilior
PROPMOVER_TXT_100156,Blue Alien Octopus,Blue Alien Octopus
PROPMOVER_TXT_100157,Yellow Alien Octopus,Yellow Alien Octopus
PROPMOVER_TXT_100158,Red Alien Octopus,Red Alien Octopus
PROPMOVER_TXT_100159,White Alien Octopus,White Alien Octopus
PROPMOVER_TXT_100160,Green Alien Octopus,Green Alien Octopus
PROPMOVER_TXT_100161,Black Alien Octopus,Black Alien Octopus
PROPMOVER_TXT_100162,Baby Peakyturtle,Peakyturtle con
PROPMOVER_TXT_100163,Baby Rock Muscle,Rock Musclev con
PROPMOVER_TXT_100164,Baby Giggle Box,Giggle Box con
PROPMOVER_TXT_100165,Baby Totemia,Baby Totemia
PROPMOVER_TXT_100166,Baby Fafnir,Baby Fafnir
PROPMOVER_TXT_100167,Baby Popcrank,Baby Popcrank
PROPMOVER_TXT_100168,Rookie Cloudberry Carrier,Rookie Cloudberry Carrier
PROPMOVER_TXT_100169,Cloudberry Carrier,Cloudberry Carrier
PROPMOVER_TXT_100170,Lightberry Carrier,Lightberry Carrier
PROPMOVER_TXT_100171,Rookie Exoberry Carrier,Rookie Exoberry Carrier
PROPMOVER_TXT_100172,Exoberry Carrier,Exoberry Carrier
PROPMOVER_TXT_001068,Waforu,Waforu
PROPMOVER_TXT_001069,Mysterious Robed Girl,Cô gái mặc áo choàng bí ẩn
PROPMOVER_TXT_001442,Lasa,Lasa
PROPMOVER_TXT_100173,Baby Giant Bang,Baby Giant Bang
PROPMOVER_TXT_100174,Baby Burudeng,Baby Burudeng
PROPMOVER_TXT_100175,Baby Iren,Baby Iren
PROPMOVER_TXT_100176,Baby Mushpoie,Baby Mushpoie
PROPMOVER_TXT_100177,Baby Flybrigen,Baby Flybrigen
PROPMOVER_TXT_100178,Baby Nuctuvehicle,Baby Nuctuvehicle
PROPMOVER_TXT_100179,Criminal Medumet,Criminal Medumet
PROPMOVER_TXT_100180,Crystal Iphrine,Crystal Iphrine
PROPMOVER_TXT_100181,Yellow Teddy Bear,Yellow Teddy Bear
PROPMOVER_TXT_100182,Blue Teddy Bear,Blue Teddy Bear
PROPMOVER_TXT_100183,Brown Teddy Bear,Brown Teddy Bear
PROPMOVER_TXT_100184,Orange Teddy Bear,Orange Teddy Bear
PROPMOVER_TXT_100185,Black Teddy Bear,Black Teddy Bear
PROPMOVER_TXT_100186,White Teddy Bear,White Teddy Bear
PROPMOVER_TXT_100187,Baby Doridoma,Baby Doridoma
PROPMOVER_TXT_100188,Baby Mothbee,Baby Mothbee
PROPMOVER_TXT_100189,Baby Hobo,Baby Hobo
PROPMOVER_TXT_100190,Primgon,Primgon
PROPMOVER_TXT_100191,Blue Gummy Bear,Blue Gummy Bear
PROPMOVER_TXT_100192,Brown Gummy Bear,Brown Gummy Bear
PROPMOVER_TXT_100193,Pink Gummy Bear,Pink Gummy Bear
PROPMOVER_TXT_100194,Red Gummy Bear,Red Gummy Bear
PROPMOVER_TXT_100195,Black Gummy Bear,Black Gummy Bear
PROPMOVER_TXT_100196,White Gummy Bear,White Gummy Bear
PROPMOVER_TXT_100197,Baby Wild Rabbit,Baby Wild Rabbit
PROPMOVER_TXT_100198,Puppy,Puppy
PROPMOVER_TXT_100199,Furious Mr. Pumpkin,Furious Mr. Pumpkin
PROPMOVER_TXT_100200,Deviant Mr. Pumpkin,Deviant Mr. Pumpkin
PROPMOVER_TXT_100201,Baby Winged Sheep,Baby Winged Sheep
PROPMOVER_TXT_100202,Teddy Bear,Teddy Bear
PROPMOVER_TXT_100203,Kitty with Yellow Umbrella,Kitty with Yellow Umbrella
PROPMOVER_TXT_100204,Kitty with Green Umbrella,Kitty with Green Umbrella
PROPMOVER_TXT_100205,Kitty with Pink Umbrella,Kitty with Pink Umbrella
PROPMOVER_TXT_100206,Kitty with Purple Umbrella,Kitty with Purple Umbrella
PROPMOVER_TXT_100207,Kitty with Beige Umbrella,Kitty with Beige Umbrella
PROPMOVER_TXT_100208,Kitty with Grey Umbrella,Kitty with Grey Umbrella
PROPMOVER_TXT_100209,Halloween Ghost,Halloween Ghost
PROPMOVER_TXT_100210,Lord Big Muscle,Lord Big Muscle
PROPMOVER_TXT_100211,Lord Krrr,Lord Krrr
PROPMOVER_TXT_100212,Lord Mushmoot,Lord Mushmoot
PROPMOVER_TXT_100213,Lord Meteonyker,Lord Meteonyker
PROPMOVER_TXT_100214,Lord Red Meteonyker,Lord Red Meteonyker
PROPMOVER_TXT_100215,Lord Pumpkin,Lord Pumpkin
PROPMOVER_TXT_100216,Lord Lykanos,Lord Lykanos
PROPMOVER_TXT_100217,Lord Drakul,Lord Drakul
PROPMOVER_TXT_100219,Lord Ripper,Lord Ripper
PROPMOVER_TXT_100220,Lord Mia,Lord Mia
PROPMOVER_TXT_100221,Lord Iblis Leanes,Lord Iblis Leanes
PROPMOVER_TXT_100222,Violet Halloween Puppet,Violet Halloween Puppet
PROPMOVER_TXT_100223,Orange Halloween Puppet,Orange Halloween Puppet
PROPMOVER_TXT_100224,Beige Halloween Puppet,Beige Halloween Puppet
PROPMOVER_TXT_100225,Pink Halloween Puppet,Pink Halloween Puppet
PROPMOVER_TXT_100226,Grey Halloween Puppet,Grey Halloween Puppet
PROPMOVER_TXT_100227,White Halloween Puppet,White Halloween Puppet
PROPMOVER_TXT_100228,Sport Pop Red Tiger,Sport Pop Red Tiger
PROPMOVER_TXT_100229,Sport Pop Blue Tiger,Sport Pop Blue Tiger
PROPMOVER_TXT_100230,Sport Pop Green Tiger,Sport Pop Green Tiger
PROPMOVER_TXT_100231,Sport Pop Orange Tiger,Sport Pop Orange Tiger
PROPMOVER_TXT_100232,Sport Pop Pink Tiger,Sport Pop Pink Tiger
PROPMOVER_TXT_100233,Sport Pop Purple Tiger,Sport Pop Purple Tiger
PROPMOVER_TXT_100234,Purple Disco Poodle,Purple Disco Poodle
PROPMOVER_TXT_100235,Green Disco Poodle,Green Disco Poodle
PROPMOVER_TXT_100236,Orange Disco Poodle,Orange Disco Poodle
PROPMOVER_TXT_100237,Pink Disco Poodle,Pink Disco Poodle
PROPMOVER_TXT_100238,Black Disco Poodle,Black Disco Poodle 
PROPMOVER_TXT_100239,Cyan Disco Poodle,Cyan Disco Poodle
PROPMOVER_TXT_100240,Nine Tails,Nine Tails
PROPMOVER_TXT_100241,Nero,Nero
PROPMOVER_TXT_100242,Thief Santa Monster,Thief Santa Monster
PROPMOVER_TXT_100243,Grumpy elf,Grumpy elf
PROPMOVER_TXT_100250,Blue Winter Pixie,Blue Winter Pixie
PROPMOVER_TXT_100251,Green Winter Pixie,Green Winter Pixie
PROPMOVER_TXT_100252,Purple Winter Pixie,Purple Winter Pixie
PROPMOVER_TXT_100253,Cyan Winter Pixie,Cyan Winter Pixie
PROPMOVER_TXT_100254,Black Winter Pixie,Black Winter Pixie
PROPMOVER_TXT_100255,White Winter Pixie,White Winter Pixie
PROPMOVER_TXT_100256,Fu Lion King,Fu Lion King
PROPMOVER_TXT_100257,Black Winter Tiger,Black Winter Tiger
PROPMOVER_TXT_100258,Pink Winter Tiger,Pink Winter Tiger
PROPMOVER_TXT_100259,Green Winter Tiger ,Green Winter Tiger 
PROPMOVER_TXT_100260,Purple Winter Tiger ,Purple Winter Tiger
PROPMOVER_TXT_100261,Orange Winter Tiger ,Orange Winter Tiger
PROPMOVER_TXT_100262,Cyan Winter Tiger ,Cyan Winter Tiger
PROPMOVER_TXT_100263,Tonge,Tonge
PROPMOVER_TXT_100264,Fox,Fox
PROPMOVER_TXT_100265,Mermaid Beauty,Mermaid Beauty
PROPMOVER_TXT_100266,Overgrown Shark,Overgrown Shark
