Key,English,Polish
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000119,This is a place of Guardians.\nThe final battle in the Hero War happened here\nAdventurers who wish to follow the will of heroes come here.,"To jest miejsce Strażników.\nOstateczna bitwa w Wojnie Bohaterów miała miejsce tutaj\nPrzybywają tu poszukiwacze przygód, którzy chcą podążać za wolą bohaterów."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000120,Darkon 3\nRoom of Guardian,Darkon 3\nPokój Opiekuna
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000121,There is a monster called Venel Guardian protecting the symbol of the wisdom of the heroes.,"Istnieje potwór zwany Venel Guardian, który chroni symbol mądrości bohaterów."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000122,Altar of Ringmaster,Ołtarz Ringmasterów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000123,The place where the Soulstone of the Ringmaster is kept.\nThe admirers of the hero Aenn\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Duszy Ringmasterów.\nWielbicieli bohatera Aenn\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000124,Altar of Elementor,Ołtarz Elementorów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000125,The place where the Soulstone of the Elementor is kept.\nThe admirers of the hero Lillip\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Duszy Elementorów.\nWielbicieli bohatera Lillip\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000126,Altar of Ranger,Ołtarz Rangerów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000127,The place where the Soulstone of the Ranger is kept.\nThe admirers of the hero Hynan\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Duszy Rangerów.\nWielbicieli bohatera Hynan\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000128,Altar of Billposter,Ołtarz Billposterów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000129,The place where the Soulstone of the Billposter is kept.\nThe admirers of the hero Roentel\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Dusz Billposterów.\nWielbicieli bohatera Roentela\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000130,Altar of Blade,Ołtarz Bladów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000131,The place where the Soulstone of the Blade is kept.\nThe admirers of the hero Heren\nmake a pilgrimage here every year.,"Miejsce, w którym przechowywany jest Kamień Duszy Bladów.\nWielbicieli bohatera Heren\nodbyć tu pielgrzymkę co roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000132,Altar of Knight,Ołtarz Knightów
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000133,The place where the Soulstone of the Knight is kept.\nThe admirers of the hero Billaon\nmake a pilgrimage  here every year.,"Miejsce, w którym przechowywany jest Kamień Dusz Knightów.\nWielbicieli bohatera Billeien\nodbyć pielgrzymkę tutaj każdego roku."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000134,Kyon Soldiers,Żołnierze Kyon
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000135,"The greatest soldiers in Madrigal.\nTheir numbers may not be very large,\nbut they are all highly-qualified warriors.","Najwięksi żołnierze w Madrigal.\nIch liczba może nie być bardzo duża,\nale wszyscy są wysoko wykwalifikowanymi wojownikami."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000136,Darkon 2\nDarken,Darkon 2\nDarken
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000137,Administrative City of Darkon.\nMost of the citizens are slightly hard of hearing\nbecause of the machine noise.,Miasto administracyjne Darkon.\nWiększość obywateli jest nieco słabo słyszących\nz powodu hałasu maszyny.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000138,Darkon 2\nCave of Envy,Darkon 2\nJaskinia Zawiści
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000139,Artificial cave.\nThe area surrounding Darken became infested with Masquerpets\nafter the Clockworks War.,Sztuczna jaskinia.\nObszar otaczający Darken został zaatakowany przez Masquerpets\npo Wojnie Clockworków.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000140,Darkon 2\nCave of Envy,Darkon 2\nJaskinia Zawiści
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000141,Artificial cave.\nThe area surrounding Darken became infested with Masquerpets\nafter the Clockworks War.,Sztuczna jaskinia.\nObszar otaczający Darken został zaatakowany przez Masquerpets\npo Wojnie Clockworków.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000142,Darkon 2\nCave of Envy,Darkon 2\nJaskinia Zawiści
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000143,Artificial cave.\nThe area surrounding Darken became infested with Masquerpets\nafter the Clockworks War.,Sztuczna jaskinia.\nObszar otaczający Darken został zaatakowany przez Masquerpets\npo wojnie Clockworków.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000144,Darkon 1\nKhipra,Darkon 1\nKhipra
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000145,The wildlife around this area was destroyed during\nthe construction of the nearby Erons Factory.,Dzika przyroda wokół tego obszaru została zniszczona przez deweloperów\nwybudowano Fabrykę Eronsa w pobliżu.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000146,Darkon 1\nGouthan Mountains,Darkon 1\nGóry Gouthan
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000147,The biggest mountains in Darkon.,Największe góry w Darkon.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000148,Darkon 1\nGouthan Mountains,Darkon 1\nGóry Gouthan
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000149,The biggest mountains in Darkon.,Największe góry w Darkon.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000150,Darkon 1\nKhipra,Darkon 1\nKhipra
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000151,The wildlife around this area was destroyed during\nthe construction of the nearby Erons Factory.,Dzika przyroda wokół tego obszaru została zniszczona przez deweloperów\nwybudowano Fabrykę Eronsa w pobliżu.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000152,Darkon 2\nThe Cage of Clockworks.,Darkon 2\nJaskinia Clockworków.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000153,Clockworks was sealed here after the Clockworks War.,Clockworks został tu zapieczętowany po Wojnie Clockworków.
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000154,Flaris Observatory,Obserwatorium Flaris
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000155,Lab of Wise-men,Laboratorium Mędrców
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000156,Saint City\nAncient Document Office,Saint City\nStarożytne Biuro Dokumentów 
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000157,Saint City\nLittle Theater of Pepoview,Saint City\nMały Teatr Pepoview
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000158,Darkon 1\nHideout of Hanoyan,Darkon 1\nKryjówka Hanoyan
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000159,Altar of Jester,Ołtarz Jester
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000160,Darkon 3\nVillage of Kan,Darkon 3\nWioska Kan
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000161,Herneos,Herneos
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000162,"Herneos was a beautiful underwater haven with magnificent architecture.\n However, Shade's hand caused great disruption.","Herneos was a beautiful underwater haven with magnificent architecture.\n However, Shade's hand caused great disruption."
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000163,Eillun,Eillun
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000164,Euphresia,Euphresia
WORLD_WDMADRIGAL_WDMADRIGAL_RGN_000165,"Euphresia was a magical, dreamlike wetland where giant glowing mushrooms and enchanted fauna thrived in perfect harmony.\nHowever, Rhisis' ancient anger unleashed a dark corruption upon the soil, twisting the peaceful forest into a treacherous, spore-choked nightmare.","Euphresia was a magical, dreamlike wetland where giant glowing mushrooms and enchanted fauna thrived in perfect harmony.\nHowever, Rhisis' ancient anger unleashed a dark corruption upon the soil, twisting the peaceful forest into a treacherous, spore-choked nightmare."
PROTOTYPE_WLD_000000,Prototype,Prototype
WDPROTOTYPE_WLD_000000,Unknown Place in Madrigal,Unknown Place in Madrigal
WDPROTOTYPE_WLD_000001,Only a Game Master can help you to leave.,Only a Game Master can help you to leave.
WDREALM_WLD_000000,This is a safe place.,To bezpieczne miejsce.
WDREALM_WLD_000001,This is a safe place.,To bezpieczne miejsce.
WDREALM_WLD_000002,This is a safe place.,To bezpieczne miejsce.
WORLD_WDEVENT01_WDEVENT01_RGN_000000,You enter a battle zone!!!,Wchodzisz na teren walki!
WDHEAVEN06_1_WLD_000003,Secret Room,Secret Room
WDUPRESIA_WLD_000000,Euphresia,Euphresia
